opcion_codigo,opcion_orden,opcion_nombre,opcion_nombre_corto,partido_nombre,partido_nombre_corto,partido_codigo,partido_color,distrito,categoria_nombre,partido_orden,categoria_slug,distrito_nro,categoria_prioridad,extranjeros
503,6,celeste y blanca,celeste y blanca,consenso federal,consenso federal,503,#031F73,Jujuy,Diputados Nacionales,154,DN10,10,20000,0
504,7,unidad1,unidad1,frente de izquierda y de trabajadores - unidad,frente de izquierda y de trabajadores - unidad,504,,Jujuy,Diputados Nacionales,155,DN10,10,20000,0
13,1,1A-UNIDAD DE LA IZQUIERDA,1A-UNIDAD DE LA IZQUIERDA,MOVIMIENTO AL SOCIALISMO,MOVIMIENTO AL SOCIALISMO,13,,La Pampa,Diputados Nacionales,156,DN11,11,20000,0
133,2,A-UNIDAD,A-UNIDAD,frente de izquierda y de trabajadores - unidad,frente de izquierda y de trabajadores - unidad,503,,La Pampa,Diputados Nacionales,157,DN11,11,20000,0
135,3,A-JUNTOS SOMOS EL CAMBIO/A- RENOVACION Y CAMBIO,A-JUNTOS SOMOS EL CAMBIO/A- RENOVACION Y CAMBIO,juntos por el cambio,juntos por el cambio,502,#FFCD00,La Pampa,Diputados Nacionales,158,DN11,11,20000,0
136,4,A- CELESTE Y BLANCA,A- CELESTE Y BLANCA,frente de todos,frente de todos,501,#00A8E4,La Pampa,Diputados Nacionales,159,DN11,11,20000,0
137,5,A- CONSENSO PARA EL FUTURO/CONSENSO PAMPEANO,A- CONSENSO PARA EL FUTURO/CONSENSO PAMPEANO,CONSENSO FEDERAL / PARTIDO SOCIALISTA,CONSENSO FEDERAL / PARTIDO SOCIALISTA,50,,La Pampa,Diputados Nacionales,160,DN11,11,20000,0
13,1,1a - unidad de la izquierda,1a - unidad de la izquierda,movimiento al socialismo (mas),movimiento al socialismo (mas),13,,La Rioja,Diputados Nacionales,161,DN12,12,20000,0
33,2,LISTA A - DESPERTAR,LISTA A - DESPERTAR,UNIR,UNIR,33,,La Rioja,Diputados Nacionales,162,DN12,12,20000,0
82,3,E - ES POSIBLE,E - ES POSIBLE,compromiso federal,compromiso federal,82,,La Rioja,Diputados Nacionales,163,DN12,12,20000,0
501,4,A - UNIDAD A,A - UNIDAD A,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD,501,,La Rioja,Diputados Nacionales,164,DN12,12,20000,0
502,5,LISTA A - HECTOR OLIVARES,LISTA A - HECTOR OLIVARES,juntos por la rioja,juntos por la rioja,502,,La Rioja,Diputados Nacionales,165,DN12,12,20000,0
503,6,LISTA A - CELESTE Y BLANCA,LISTA A - CELESTE Y BLANCA,frente de todos,frente de todos,503,#00A8E4,La Rioja,Diputados Nacionales,166,DN12,12,20000,0
501,1,UNIDAD,UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES  - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES  - UNIDAD,501,,Mendoza,Diputados Nacionales,167,DN13,13,20000,0
503,2,A MEJOR PARA MENDOZA,A MEJOR PARA MENDOZA,CAMBIA MENDOZA,CAMBIA MENDOZA,503,,Mendoza,Diputados Nacionales,168,DN13,13,20000,0
502,3,Lista A celeste y blanca,Lista A celeste y blanca,FRENTE DE TODOS,FRENTE DE TODOS,502,#00A8E4,Mendoza,Diputados Nacionales,169,DN13,13,20000,0
222,4,CONSENSO PARA EL FUTURO-1,CONSENSO PARA EL FUTURO-1,protectora fuerza politica,protectora fuerza politica,222,,Mendoza,Diputados Nacionales,170,DN13,13,20000,0
50,1,Lista PARTIDO SOCIALISTA,Lista PARTIDO SOCIALISTA,PARTIDO SOCIALISTA,PARTIDO SOCIALISTA,50,,Misiones,Diputados Nacionales,171,DN14,14,20000,0
71,2,Lista A - UNIDAD,Lista A - UNIDAD,PARTIDO DEL OBRERO,PARTIDO DEL OBRERO,71,,Misiones,Diputados Nacionales,172,DN14,14,20000,0
501,3,"Lista ROJA, AZUL Y BLANCA","Lista ROJA, AZUL Y BLANCA",FRENTE RENOVADOR DE LA CONCORDIA,FRENTE RENOVADOR DE LA CONCORDIA,501,,Misiones,Diputados Nacionales,173,DN14,14,20000,0
502,4,LISTA F - CELESTE Y BLANCA,LISTA F - CELESTE Y BLANCA,FRENTE DE TODOS,FRENTE DE TODOS,502,#00A8E4,Misiones,Diputados Nacionales,174,DN14,14,20000,0
503A,5,LISTA A JUNTOS SOMOS EL CAMBIO,LISTA A JUNTOS SOMOS EL CAMBIO,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Misiones,Diputados Nacionales,175,DN14,14,20000,0
503B,6,LISTA B Juntos por misiones,LISTA B Juntos por misiones,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Misiones,Diputados Nacionales,176,DN14,14,20000,0
503C,7,LISTA C JUNTOS,LISTA C JUNTOS,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Misiones,Diputados Nacionales,177,DN14,14,20000,0
13,1,1a UNIDAD DE LA IZQUIERDA,1a UNIDAD DE LA IZQUIERDA,MOVIMIENTO AL SOCIALISMO,MOVIMIENTO AL SOCIALISMO,13,,Neuquén,Diputados Nacionales,178,DN15,15,20000,0
133,2,UNIDAD A,UNIDAD A,frente de izquierda y de trabajadores - unidad,frente de izquierda y de trabajadores - unidad,502,,Neuquén,Diputados Nacionales,179,DN15,15,20000,0
135A,3,JUNTOS SOMOS EL CAMBIO,JUNTOS SOMOS EL CAMBIO,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,501,#FFCD00,Neuquén,Diputados Nacionales,180,DN15,15,20000,0
135B,4,participación y renovación,participación y renovación,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,501,#FFCD00,Neuquén,Diputados Nacionales,181,DN15,15,20000,0
151A,5,LETRA A -  DEFENDAMOS NEUQUEN,LETRA A -  DEFENDAMOS NEUQUEN,MOVIMIENTO POPULAR NEUQUINO,MOVIMIENTO POPULAR NEUQUINO,151,,Neuquén,Diputados Nacionales,182,DN15,15,20000,0
151B,6,unidos si podemos lista b,unidos si podemos lista b,MOVIMIENTO POPULAR NEUQUINO,MOVIMIENTO POPULAR NEUQUINO,151,,Neuquén,Diputados Nacionales,183,DN15,15,20000,0
137,7,CONSENSO PARA EL FUTURO,CONSENSO PARA EL FUTURO,CONSENSO FEDERAL,CONSENSO FEDERAL,504,#031F73,Neuquén,Diputados Nacionales,184,DN15,15,20000,0
136,8,CELESTE Y BLANCA,CELESTE Y BLANCA,FRENTE DE TODOS,FRENTE DE TODOS,503,#00A8E4,Neuquén,Diputados Nacionales,185,DN15,15,20000,0
13,1,UNIDAD DE LA IZQUIERDA,UNIDAD DE LA IZQUIERDA,MOVIMIENTO AL SOCIALISMO,MOVIMIENTO AL SOCIALISMO,13,,Neuquén,Senadores Nacionales,186,SN15,15,20000,0
133,2,UNIDAD A,UNIDAD A,frente de izquierda y de trabajadores - unidad,frente de izquierda y de trabajadores - unidad,502,,Neuquén,Senadores Nacionales,187,SN15,15,20000,0
135,3,JUNTOS SOMOS EL CAMBIO,JUNTOS SOMOS EL CAMBIO,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,501,#FFCD00,Neuquén,Senadores Nacionales,188,SN15,15,20000,0
136,4,CELESTE Y BLANCA,CELESTE Y BLANCA,FRENTE DE TODOS,FRENTE DE TODOS,503,#00A8E4,Neuquén,Senadores Nacionales,189,SN15,15,20000,0
137,5,a,a,CONSENSO FEDERAL,CONSENSO FEDERAL,504,#031F73,Neuquén,Senadores Nacionales,190,SN15,15,20000,0
151B,6,B UNIDOS SI PODEMOS,B UNIDOS SI PODEMOS,MOVIMIENTO POPULAR NEUQUINO,MOVIMIENTO POPULAR NEUQUINO,151,,Neuquén,Senadores Nacionales,191,SN15,15,20000,0
151A,7,LETRA A -  DEFENDAMOS NEUQUEN,LETRA A -  DEFENDAMOS NEUQUEN,MOVIMIENTO POPULAR NEUQUINO,MOVIMIENTO POPULAR NEUQUINO,151,,Neuquén,Senadores Nacionales,192,SN15,15,20000,0
13,1,LISTA A UNIDAD DE LA IZQUIERDA,LISTA A UNIDAD DE LA IZQUIERDA,MOVIMIENTO AL SOCIALISMO - MAS,MOVIMIENTO AL SOCIALISMO - MAS,13,,Rio Negro,Diputados Nacionales,193,DN16,16,20000,0
133-503,2,LISTA A UNIDAD,LISTA A UNIDAD,frente de izquierda y de trabajadores - unidad,frente de izquierda y de trabajadores - unidad,503,,Rio Negro,Diputados Nacionales,194,DN16,16,20000,0
135-501,3,LISTA A JUNTOS SOMOS EL CAMBIO,LISTA A JUNTOS SOMOS EL CAMBIO,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,501,#FFCD00,Rio Negro,Diputados Nacionales,195,DN16,16,20000,0
136-502,4,LISTA A CELESTE Y BLANCA,LISTA A CELESTE Y BLANCA,FRENTE DE TODOS,FRENTE DE TODOS,502,#00A8E4,Rio Negro,Diputados Nacionales,196,DN16,16,20000,0
169,5,LISTA A SIGAMOS CRECIENDO ,LISTA A SIGAMOS CRECIENDO ,juntos somos rio negro,juntos somos rio negro,169,,Rio Negro,Diputados Nacionales,197,DN16,16,20000,0
13,1,LISTA A Unidad de la Izquierda,LISTA A Unidad de la Izquierda,MOVIMIENTO AL SOCIALISMO - MAS,MOVIMIENTO AL SOCIALISMO - MAS,13,,Rio Negro,Senadores Nacionales,198,SN16,16,20000,0
133-503,2,LISTA A UNIDAD,LISTA A UNIDAD,frente de izquierda y de trabajadores - unidad,frente de izquierda y de trabajadores - unidad,503,,Rio Negro,Senadores Nacionales,199,SN16,16,20000,0
136-502,3,LISTA A CELESTE Y BLANCA,LISTA A CELESTE Y BLANCA,FRENTE DE TODOS,FRENTE DE TODOS,502,#00A8E4,Rio Negro,Senadores Nacionales,200,SN16,16,20000,0
169,4,LISTA A SIGAMOS CRECIENDO ,LISTA A SIGAMOS CRECIENDO ,juntos somos rio negro,juntos somos rio negro,169,,Rio Negro,Senadores Nacionales,201,SN16,16,20000,0
131-19,1,FRENTE NOS (A),FRENTE NOS (A),FRENTE NOS PARTIDO CONSERVADOR POPULAR,FRENTE NOS PARTIDO CONSERVADOR POPULAR,19,,Salta,Diputados Nacionales,202,DN17,17,20000,0
133-504,2,unidad,unidad,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,504,,Salta,Diputados Nacionales,203,DN17,17,20000,0
135-503A,3,JUNTOS SOMOS EL CAMBIO (A),JUNTOS SOMOS EL CAMBIO (A),JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Salta,Diputados Nacionales,204,DN17,17,20000,0
135-503I,4,UN CAMBIO PARA SALTA (i),UN CAMBIO PARA SALTA (i),JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Salta,Diputados Nacionales,205,DN17,17,20000,0
136/501A,5,celeste y blanca,celeste y blanca,FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Salta,Diputados Nacionales,206,DN17,17,20000,0
136/501B,6,"con todos, sinceramente","con todos, sinceramente",FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Salta,Diputados Nacionales,207,DN17,17,20000,0
136/501K,7,TENEMOS FUTURO (k),TENEMOS FUTURO (k),FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Salta,Diputados Nacionales,208,DN17,17,20000,0
137-502,8,CONSENSO POR SALTA,CONSENSO POR SALTA,UNIÓN POR SAlta,UNIÓN POR SAlta,502,,Salta,Diputados Nacionales,209,DN17,17,20000,0
131-19,1,FRENTE NOS,FRENTE NOS,FRENTE NOS PARTIDO CONSERVADOR POPULAR,FRENTE NOS PARTIDO CONSERVADOR POPULAR,19,,Salta,Senadores Nacionales,210,SN17,17,20000,0
133-504,2,unidad (A),unidad (A),FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,504,,Salta,Senadores Nacionales,211,SN17,17,20000,0
135-503,3,juntos por salta (b),juntos por salta (b),JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Salta,Senadores Nacionales,212,SN17,17,20000,0
136-501A,4,celeste y blanca,celeste y blanca,FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Salta,Senadores Nacionales,213,SN17,17,20000,0
136-501K,5,TENEMOS FUTURO (K),TENEMOS FUTURO (K),FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Salta,Senadores Nacionales,214,SN17,17,20000,0
137-502,6,CONSENSO POR SALTA,CONSENSO POR SALTA,"CONSENSO POR SALTA, UNIÓN POR SAlta ","CONSENSO POR SALTA, UNIÓN POR SAlta ",502,,Salta,Senadores Nacionales,215,SN17,17,20000,0
135,1,Somos el cambio,Somos el cambio,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,135,#FFCD00,San Juan,Diputados Nacionales,216,DN18,18,20000,0
136,2,Frente de Todos,Frente de Todos,Frente de Todos,Frente de Todos,,#00A8E4,San Juan,Diputados Nacionales,217,DN18,18,20000,0
501,3,Celeste y Blanca,Celeste y Blanca,Alianza Frente de Todos San Juan,Alianza Frente de Todos San Juan,,#00A8E4,San Juan,Diputados Nacionales,218,DN18,18,20000,0
503,4,Con Vos,Con Vos,Alianza Juntos por el Cambio San Juan,Alianza Juntos por el Cambio San Juan,,#FFCD00,San Juan,Diputados Nacionales,219,DN18,18,20000,0
504,5,Blanca unidad,Blanca unidad,Alianza consenso federal San juan,Alianza consenso federal San juan,,#031F73,San Juan,Diputados Nacionales,220,DN18,18,20000,0
50503,6,Defensores del Cambio,Defensores del Cambio,Alianza Juntos por el Cambio San Juan,Alianza Juntos por el Cambio San Juan,,#FFCD00,San Juan,Diputados Nacionales,221,DN18,18,20000,0
50504,7,Concertación,Concertación,Alianza consenso federal San juan,Alianza consenso federal San juan,,#031F73,San Juan,Diputados Nacionales,222,DN18,18,20000,0
501A,1,unidas y unidos,unidas y unidos,frente de izquierda y de trabajadores - unidad,frente de izquierda y de trabajadores - unidad,501,,San Luis,Diputados Nacionales,223,DN19,19,20000,0
502A,2,A San Luis Unido,A San Luis Unido,juntos por el cambio,juntos por el cambio,502,#FFCD00,San Luis,Diputados Nacionales,224,DN19,19,20000,0
502B,3,B SOMOS POR LA VIDA,B SOMOS POR LA VIDA,juntos por el cambio,juntos por el cambio,502,#FFCD00,San Luis,Diputados Nacionales,225,DN19,19,20000,0
503A,4,A UNIDAD,A UNIDAD,frente de todos,frente de todos,503,#00A8E4,San Luis,Diputados Nacionales,226,DN19,19,20000,0
204A,5,212 - ACUERDO SAN LUIS,212 - ACUERDO SAN LUIS,CONSENSO FEDERAL,CONSENSO FEDERAL,204,#031F73,San Luis,Diputados Nacionales,227,DN19,19,20000,0
13,6,lista a unidad de la izquierda,lista a unidad de la izquierda,Movimiento al socialismo,Movimiento al socialismo,13,,San Luis,Diputados Nacionales,228,DN19,19,20000,0
13,1,UNIDAD DE LA IZQUIERDA,UNIDAD DE LA IZQUIERDA,movimiento al socialismo,movimiento al socialismo,13,,Santa Cruz,Diputados Nacionales,229,DN20,20,20000,0
133-501,2,UNIDAD,UNIDAD,frente de izquierda y de trabajadores-unidad,frente de izquierda y de trabajadores-unidad,501,,Santa Cruz,Diputados Nacionales,230,DN20,20,20000,0
135-503A,3,cambiando juntos santa cruz,cambiando juntos santa cruz,juntos por el cambio,juntos por el cambio,503,#FFCD00,Santa Cruz,Diputados Nacionales,231,DN20,20,20000,0
135-503B,4,juntos por vos,juntos por vos,juntos por el cambio,juntos por el cambio,503,#FFCD00,Santa Cruz,Diputados Nacionales,232,DN20,20,20000,0
135-503C,5,NUESTRA SANTA CRUZ,NUESTRA SANTA CRUZ,juntos por el cambio,juntos por el cambio,503,#FFCD00,Santa Cruz,Diputados Nacionales,233,DN20,20,20000,0
135-503D,6,para salir adelante,para salir adelante,juntos por el cambio,juntos por el cambio,503,#FFCD00,Santa Cruz,Diputados Nacionales,234,DN20,20,20000,0
135-503E,7,Proyecto Alternativo,Proyecto Alternativo,juntos por el cambio,juntos por el cambio,503,#FFCD00,Santa Cruz,Diputados Nacionales,235,DN20,20,20000,0
136-502A,8,ACUERDO SANTACRUCEÑO,ACUERDO SANTACRUCEÑO,frente de todos,frente de todos,502,#00A8E4,Santa Cruz,Diputados Nacionales,236,DN20,20,20000,0
136-502B,9,NACE UNA ESPERANZA,NACE UNA ESPERANZA,frente de todos,frente de todos,502,#00A8E4,Santa Cruz,Diputados Nacionales,237,DN20,20,20000,0
136-502C,10,SER SANTA CRUZ,SER SANTA CRUZ,frente de todos,frente de todos,502,#00A8E4,Santa Cruz,Diputados Nacionales,238,DN20,20,20000,0
176,11,consenso federal,consenso federal,frente renovador autentico,frente renovador autentico,86,,Santa Cruz,Diputados Nacionales,239,DN20,20,20000,0
13,1,movimiento al socialismo,movimiento al socialismo,movimiento al socialismo,movimiento al socialismo,13,,Santa Cruz,Gobernador y vice,240,G20,20,20000,0
701A,2,ALTERNATIVA FEDERAL,ALTERNATIVA FEDERAL,nueva Santa Cruz,nueva Santa Cruz,701,,Santa Cruz,Gobernador y vice,241,G20,20,20000,0
701B,3,DEFENSORES DEL CAMBIO SANTA CRUZ,DEFENSORES DEL CAMBIO SANTA CRUZ,nueva Santa Cruz,nueva Santa Cruz,701,,Santa Cruz,Gobernador y vice,242,G20,20,20000,0
701C,4,ENCUENTRO CIUDADANO,ENCUENTRO CIUDADANO,nueva Santa Cruz,nueva Santa Cruz,701,,Santa Cruz,Gobernador y vice,243,G20,20,20000,0
701D,5,FE SANTA CRUZ,FE SANTA CRUZ,nueva Santa Cruz,nueva Santa Cruz,701,,Santa Cruz,Gobernador y vice,244,G20,20,20000,0
701E,6,MEJOREMOS SANTA CRUZ,MEJOREMOS SANTA CRUZ,nueva Santa Cruz,nueva Santa Cruz,701,,Santa Cruz,Gobernador y vice,245,G20,20,20000,0
701F,7,PARA SALIR ADELANTE,PARA SALIR ADELANTE,nueva Santa Cruz,nueva Santa Cruz,701,,Santa Cruz,Gobernador y vice,246,G20,20,20000,0
701G,8,SOCIALISMO SANTACRUCEÑO,SOCIALISMO SANTACRUCEÑO,nueva Santa Cruz,nueva Santa Cruz,701,,Santa Cruz,Gobernador y vice,247,G20,20,20000,0
702A,9,ACUERDO SANTACRUCEÑO,ACUERDO SANTACRUCEÑO,FRENTE DE TODOS,FRENTE DE TODOS,702,#00A8E4,Santa Cruz,Gobernador y vice,248,G20,20,20000,0
702B,10,NACE UNA ESPERANZA,NACE UNA ESPERANZA,FRENTE DE TODOS,FRENTE DE TODOS,702,#00A8E4,Santa Cruz,Gobernador y vice,249,G20,20,20000,0
702C,11,SER SANTA CRUZ,SER SANTA CRUZ,FRENTE DE TODOS,FRENTE DE TODOS,702,#00A8E4,Santa Cruz,Gobernador y vice,250,G20,20,20000,0
703,12,,,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,703,,Santa Cruz,Gobernador y vice,251,G20,20,20000,0
710,13,,,SANTA CRUZ SOMOS TODOS,SANTA CRUZ SOMOS TODOS,710,,Santa Cruz,Gobernador y vice,252,G20,20,20000,0
13,1,1A - Unidad de la Izquierda,1A - Unidad de la Izquierda,movimiento al socialismo,movimiento al socialismo,13,,Santa Fe,Diputados Nacionales,253,DN21,21,20000,0
36A,2,LISTA A - CELESTE LEALTAD ANIMAL,LISTA A - CELESTE LEALTAD ANIMAL,partido autonomista,partido autonomista,36,,Santa Fe,Diputados Nacionales,254,DN21,21,20000,0
36B,3,LISTA B - ACCION SANTAFESINA,LISTA B - ACCION SANTAFESINA,partido autonomista,partido autonomista,36,,Santa Fe,Diputados Nacionales,255,DN21,21,20000,0
36C,4,LISTA C - ROJO UNIDOS POR LA FE Y LA VIDA,LISTA C - ROJO UNIDOS POR LA FE Y LA VIDA,partido autonomista,partido autonomista,36,,Santa Fe,Diputados Nacionales,256,DN21,21,20000,0
36D,5,LISTA D - AMARILLO VALORES PARA ARGENTINA,LISTA D - AMARILLO VALORES PARA ARGENTINA,partido autonomista,partido autonomista,36,,Santa Fe,Diputados Nacionales,257,DN21,21,20000,0
36E,6,LISTA D - NARANJA CREER PARA CRECER,LISTA D - NARANJA CREER PARA CRECER,partido autonomista,partido autonomista,36,,Santa Fe,Diputados Nacionales,258,DN21,21,20000,0
65,7,LISTA E - UNIDOS X SANTA FE,LISTA E - UNIDOS X SANTA FE,union celeste y blanco,union celeste y blanco,65,,Santa Fe,Diputados Nacionales,259,DN21,21,20000,0
87,8,LISTA A - OLA CELESTE,LISTA A - OLA CELESTE,unite por la libertad y la dignidad,unite por la libertad y la dignidad,87,,Santa Fe,Diputados Nacionales,260,DN21,21,20000,0
131-501-1A,9,LISTA 1A - SIEMPRE CELESTES,LISTA 1A - SIEMPRE CELESTES,frente federal nos,frente federal nos,501,,Santa Fe,Diputados Nacionales,261,DN21,21,20000,0
131-501-2B,10,2B - MALVINAS ARGENTINAS,2B - MALVINAS ARGENTINAS,frente federal nos,frente federal nos,501,,Santa Fe,Diputados Nacionales,262,DN21,21,20000,0
131-501-3C,11,3C - nos p/ la familia y la vida,3C - nos p/ la familia y la vida,frente federal nos,frente federal nos,501,,Santa Fe,Diputados Nacionales,263,DN21,21,20000,0
131-501-4D,12,4D - PAZ Y TRABAJO,4D - PAZ Y TRABAJO,frente federal nos,frente federal nos,501,,Santa Fe,Diputados Nacionales,264,DN21,21,20000,0
131-501-5E,13,5E - POR LOS ANIMALES,5E - POR LOS ANIMALES,frente federal nos,frente federal nos,501,,Santa Fe,Diputados Nacionales,265,DN21,21,20000,0
131-501-6F,14,6F - FRENTE EMANCIPADOR,6F - FRENTE EMANCIPADOR,frente federal nos,frente federal nos,501,,Santa Fe,Diputados Nacionales,266,DN21,21,20000,0
131-501-7G,15,7G - SANTA FE CON VALORES,7G - SANTA FE CON VALORES,frente federal nos,frente federal nos,501,,Santa Fe,Diputados Nacionales,267,DN21,21,20000,0
131-501-8H,16,8H - por la vida,8H - por la vida,frente federal nos,frente federal nos,501,,Santa Fe,Diputados Nacionales,268,DN21,21,20000,0
131-501-9I,17,9I - progreso y bienestar,9I - progreso y bienestar,frente federal nos,frente federal nos,501,,Santa Fe,Diputados Nacionales,269,DN21,21,20000,0
131-501-10J,18,10J - salvemos dos vidas,10J - salvemos dos vidas,frente federal nos,frente federal nos,501,,Santa Fe,Diputados Nacionales,270,DN21,21,20000,0
133-503,19,LISTA A - UNIDAD,LISTA A - UNIDAD,frente de izquierda y de trabajadores-unidad,frente de izquierda y de trabajadores-unidad,503,,Santa Fe,Diputados Nacionales,271,DN21,21,20000,0
135-504A,20,LISTA A - Juntos somos el cambio,LISTA A - Juntos somos el cambio,juntos por el cambio,juntos por el cambio,504,#FFCD00,Santa Fe,Diputados Nacionales,272,DN21,21,20000,0
135-504B,21,Lista B - Vamos todos,Lista B - Vamos todos,juntos por el cambio,juntos por el cambio,504,#FFCD00,Santa Fe,Diputados Nacionales,273,DN21,21,20000,0
136-505,22,K - celeste y blanca,K - celeste y blanca,frente de todos,frente de todos,505,#00A8E4,Santa Fe,Diputados Nacionales,274,DN21,21,20000,0
137-502,23,LISTA A - ADELANTE,LISTA A - ADELANTE,consenso federal,consenso federal,502,#031F73,Santa Fe,Diputados Nacionales,275,DN21,21,20000,0
177,24,LISTA 1 A - desarrollo agroindustrial,LISTA 1 A - desarrollo agroindustrial,movimiento independiente renovador,movimiento independiente renovador,177,,Santa Fe,Diputados Nacionales,276,DN21,21,20000,0
199,25,LISTA A - soy pro vida,LISTA A - soy pro vida,partido popular,partido popular,199,,Santa Fe,Diputados Nacionales,277,DN21,21,20000,0
506,26,Lista A - Apostemos por la Vida,Lista A - Apostemos por la Vida,alternativa federal,alternativa federal,506,,Santa Fe,Diputados Nacionales,278,DN21,21,20000,0
38,1,Lista Unidad - A,Lista Unidad - A,movimiento socialista de los trabajadores,movimiento socialista de los trabajadores,38,,Santiago del Estero,Diputados Nacionales,279,DN22,22,20000,0
40,2,Lista 40A Libres,Lista 40A Libres,MOVIMIENTO LIBRES DEL SUR,MOVIMIENTO LIBRES DEL SUR,40,,Santiago del Estero,Diputados Nacionales,280,DN22,22,20000,0
87,3,Lista A Pro Vida,Lista A Pro Vida,UNITE! POR LA lIBERTAD Y LA dIGNIDAD,UNITE! POR LA lIBERTAD Y LA dIGNIDAD,87,,Santiago del Estero,Diputados Nacionales,281,DN22,22,20000,0
178,4,Lista  1A Unidos Por El Futuro,Lista  1A Unidos Por El Futuro,PARTIDO POPULAR,PARTIDO POPULAR,178,,Santiago del Estero,Diputados Nacionales,282,DN22,22,20000,0
179,5,Lista  179 A Celeste,Lista  179 A Celeste,PARTIDO DIGNIDAD POPULAR,PARTIDO DIGNIDAD POPULAR,179,,Santiago del Estero,Diputados Nacionales,283,DN22,22,20000,0
501,6,Lista A Por Santiago,Lista A Por Santiago,frente civico por santiago,frente civico por santiago,501,,Santiago del Estero,Diputados Nacionales,284,DN22,22,20000,0
502,7,Lista A celeste y blanca,Lista A celeste y blanca,frente de todos,frente de todos,502,#00A8E4,Santiago del Estero,Diputados Nacionales,285,DN22,22,20000,0
503A,8,Lista 503 A Juntos Podemos,Lista 503 A Juntos Podemos,juntos por el cambio,juntos por el cambio,503,#FFCD00,Santiago del Estero,Diputados Nacionales,286,DN22,22,20000,0
503B,9,Lista 503 B Cambia Santiago,Lista 503 B Cambia Santiago,juntos por el cambio,juntos por el cambio,503,#FFCD00,Santiago del Estero,Diputados Nacionales,287,DN22,22,20000,0
38,1,Lista Unidad - A,Lista Unidad - A,movimiento socialista de los trabajadores,movimiento socialista de los trabajadores,38,,Santiago del Estero,Senadores Nacionales,288,SN22,22,20000,0
40,2,Lista 40A Libres,Lista 40A Libres,MOVIMIENTO LIBRES DEL SUR,MOVIMIENTO LIBRES DEL SUR,40,,Santiago del Estero,Senadores Nacionales,289,SN22,22,20000,0
87,3,Lista A Pro Vida,Lista A Pro Vida,UNITE! POR LA lIBERTAD Y LA dIGNIDAD,UNITE! POR LA lIBERTAD Y LA dIGNIDAD,87,,Santiago del Estero,Senadores Nacionales,290,SN22,22,20000,0
178,4,unidos por el futuro,unidos por el futuro,PARTIDO POPULAR,PARTIDO POPULAR,178,,Santiago del Estero,Senadores Nacionales,291,SN22,22,20000,0
179,5,Lista 179  A - Celeste,Lista 179  A - Celeste,PARTIDO DIGNIDAD POPULAR,PARTIDO DIGNIDAD POPULAR,179,,Santiago del Estero,Senadores Nacionales,292,SN22,22,20000,0
501,6,Lista 501 A Por Santiago,Lista 501 A Por Santiago,frente civico por santiago,frente civico por santiago,501,,Santiago del Estero,Senadores Nacionales,293,SN22,22,20000,0
502,7,Lista A Celeste y Blanca,Lista A Celeste y Blanca,frente de todos,frente de todos,502,#00A8E4,Santiago del Estero,Senadores Nacionales,294,SN22,22,20000,0
503A,8,Lista 503 A Juntos Podemos,Lista 503 A Juntos Podemos,juntos por el cambio,juntos por el cambio,503,#FFCD00,Santiago del Estero,Senadores Nacionales,295,SN22,22,20000,0
503B,9,Lista 503 B Cambia Santiago,Lista 503 B Cambia Santiago,juntos por el cambio,juntos por el cambio,503,#FFCD00,Santiago del Estero,Senadores Nacionales,296,SN22,22,20000,0
5031A,1,Lista 1A unidad,Lista 1A unidad,FRENTE DE IZQUIERDA Y DE TRABAJADORES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,503,,Tucumán,Diputados Nacionales,297,DN23,23,20000,0
