opcion_codigo,opcion_orden,opcion_nombre,opcion_nombre_corto,partido_nombre,partido_nombre_corto,partido_codigo,partido_color,distrito,categoria_nombre,partido_orden,categoria_slug,distrito_nro,categoria_prioridad,extranjeros
137-504,10,CONSENSO PARA EL FUTURO,CONSENSO PARA EL FUTURO,CONSENSO FEDERAL,CONSENSO FEDERAL,504,#031F73,Ciudad Autónoma de Buenos Aires,Senadores Nacionales,30,SN1,1,20000,0
187,11,"187-A ""QUE LOS PUEBLOS MANDEN""","187-A ""QUE LOS PUEBLOS MANDEN""",Autodeterminación y Libertad,Autodeterminación y Libertad,187,,Ciudad Autónoma de Buenos Aires,Senadores Nacionales,31,SN1,1,20000,0
343,12,MISION CELESTE,MISION CELESTE,Movimiento de Jubilados y Juventud,Movimiento de Jubilados y Juventud,343,,Ciudad Autónoma de Buenos Aires,Senadores Nacionales,32,SN1,1,20000,0
276,1,LISTA 1 A UNIDAD DE LA IZQUIERDA,LISTA 1 A UNIDAD DE LA IZQUIERDA,Movimiento de Avanzada socialista,Movimiento de Avanzada socialista,276,,Buenos Aires,Diputados Nacionales,33,DN2,2,20000,0
79,2,somos renovadores,somos renovadores,partido renovador federal,partido renovador federal,79,,Buenos Aires,Diputados Nacionales,34,DN2,2,20000,0
88/816,3,lista1A por la vida,lista1A por la vida,PARTIDO DIGNIDAD POPULAR,PARTIDO DIGNIDAD POPULAR,88/816,,Buenos Aires,Diputados Nacionales,35,DN2,2,20000,0
312,4,LISTA CELESTE,LISTA CELESTE,FRENTE PATRIOTA,FRENTE PATRIOTA,312/,,Buenos Aires,Diputados Nacionales,36,DN2,2,20000,0
133,5,unidad,unidad,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,502,,Buenos Aires,Diputados Nacionales,37,DN2,2,20000,0
135,6,LISTA A JUNTOS SOMOS EL CAMBIO,LISTA A JUNTOS SOMOS EL CAMBIO,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Buenos Aires,Diputados Nacionales,38,DN2,2,20000,0
136/503,7,LISTA CELESTE Y BLANCA,LISTA CELESTE Y BLANCA,FRENTE DE TODOS,FRENTE DE TODOS,136,#00A8E4,Buenos Aires,Diputados Nacionales,39,DN2,2,20000,0
137A,8,A CONSENSO PARA EL FUTURO,A CONSENSO PARA EL FUTURO,CONSENSO FEDERAL,CONSENSO FEDERAL,504,#031F73,Buenos Aires,Diputados Nacionales,40,DN2,2,20000,0
207,9,LISTA A NARANJA,LISTA A NARANJA,PARTIDO HUMANISTA,PARTIDO HUMANISTA,207,,Buenos Aires,Diputados Nacionales,41,DN2,2,20000,0
309A,10,LISTA COMPROMISO CIUDADANO,LISTA COMPROMISO CIUDADANO,MOV. ORGANIZACIÓN DEMOCRÁTICA MODE,MOV. ORGANIZACIÓN DEMOCRÁTICA MODE,309,,Buenos Aires,Diputados Nacionales,42,DN2,2,20000,0
314,11,LISTA A CELESTE Y BLANCO,LISTA A CELESTE Y BLANCO,PARTIDO REPUBLICANO FEDERAL,PARTIDO REPUBLICANO FEDERAL,314,,Buenos Aires,Diputados Nacionales,43,DN2,2,20000,0
315,12,LISTA ESPERANZA,LISTA ESPERANZA,MORAL Y PROGRESO,MORAL Y PROGRESO,315,,Buenos Aires,Diputados Nacionales,44,DN2,2,20000,0
276,1,LISTA 1 A UNIDAD DE LA IZQUIERDA,LISTA 1 A UNIDAD DE LA IZQUIERDA,Movimiento de Avanzada socialista,Movimiento de Avanzada socialista,276,,Buenos Aires,Gobernador y vice,45,G2,2,3,1
88/816,2,LISTA 1A - POR LA VIDA,PARTIDO DIGNIDAD POPULAR,PARTIDO DIGNIDAD POPULAR,,88/816,,Buenos Aires,Gobernador y vice,46,G2,2,3,1
131/1911,3,linea única,linea única,Frente NOS,Frente NOS,,,Buenos Aires,Gobernador y vice,47,G2,2,3,1
865,4,lista lealtad,lista lealtad,FRENTE PATRIOTA,FRENTE PATRIOTA,,,Buenos Aires,Gobernador y vice,48,G2,2,3,1
133,5,unidad,unidad,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,502,,Buenos Aires,Gobernador y vice,49,G2,2,3,1
135,6,1 A amarilllo,1 A amarilllo,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Buenos Aires,Gobernador y vice,50,G2,2,3,1
136/503,7,LISTA CELESTE Y BLANCA 2,LISTA CELESTE Y BLANCA 2,FRENTE DE TODOS,FRENTE DE TODOS,136,#00A8E4,Buenos Aires,Gobernador y vice,51,G2,2,3,1
137B,8,hay consenso,hay consenso,CONSENSO FEDERAL,CONSENSO FEDERAL,504,#031F73,Buenos Aires,Gobernador y vice,52,G2,2,3,1
