DISTRITO,ESTABLECIMIENTO,DOMICILIO,DESDE,HASTA,CIRCUITO
ESTEBAN ECHEVERRIA,ESCUELA EP N°1/ES N°1,SOFIA TD. SANTAMARINA N° 554,9007,9012,288
ESTEBAN ECHEVERRIA,ESCUELA EDUC. ESPECIAL 504,INSUA N° 3120,9013,9016,0286A
ESTEBAN ECHEVERRIA,JARDIN DE INFANTES NRO 924,PLAZA HUINCUL N° 2069,9017,9019,0286A
ESTEBAN ECHEVERRIA,JARDIN DE INFANTES 928,AV. DE MAYO N° 1895,9020,9021,0286A
ESTEBAN ECHEVERRIA,JARDIN DE INFANTES 927,COLONIA MONTEGRANDE N° 4980,9022,9025,0286A
ESTEBAN ECHEVERRIA,JARDIN DE INFANTES 917,SAAVEDRA N° 4380,9026,9027,0287A
ESTEBAN ECHEVERRIA,COLEGIO GRILLI CANNING,BOULEVARD DUPUY N° 4600 ,9028,9028,0287B
ESTEBAN ECHEVERRIA,ESCUELA ES N°22,BARRACAS N° 1570,9029,9031,0287C
ESTEBAN ECHEVERRIA,INSTITUTO J HAITI,AMEGHINO N° 537,9032,9034,288
ESTEBAN ECHEVERRIA,JARDIN DE INFANTES N°904,ESQUIU E/ ALSINA E ING. QUEIREL,9035,9037,0288A
ESTEBAN ECHEVERRIA,ESCUELA EP. 31 / ES NRO 30,SALTA N° 1099 ,9038,9042,288
ESTEBAN ECHEVERRIA,JARDIN DE INFANTES N° 915,LUCIO LOPEZ 1297,9043,9044,0291A
EXALTACION DE LA CRUZ,ESCUELA  EDUCACION ESP. N° 501,PADRE FAHY 445,9001,9003,292
EZEIZA,INSTITUTO AMANECER,DONATO ALVAREZ 817,9001,9007,289
EZEIZA,SECRETARIA DE ACCION SOCIAL,ZAPALA N° 480,9008,9012,290
EZEIZA,ESCUELA EP N°12/ES N°13,CARLOS TEJEDIOR 444,9013,9017,290
FLORENCIO VARELA,ESCUELA ES N°25,37 N°758,9001,9006,302
FLORENCIO VARELA,ESCUELA EST N°4,H. YRIGOYEN 95,9007,9013,302
FLORENCIO VARELA,ESCUELA EP N°8/ES N°15,RUTA 53 KM.14680,9014,9014,303
FLORENCIO VARELA,ESCUELA ES N°5,AV. NOVAK N° 1124,9015,9020,0302A
FLORENCIO VARELA,COLEGIO PADRE F.M. MENNEL (EP/ES),MILAN Y DINAMARCA,9021,9022,0302B
FLORENCIO VARELA,INSTITUTO AYELEN,AV. BOSQUES N° 2798,9023,9026,0302C
FLORENCIO VARELA,ESCUELA  EP. N° 502,PABLO PODESTA 1347,9027,9031,0302E
FLORENCIO VARELA,ESCUELA  EP N°36/ES N°60,1423 N°1613,9032,9032,0302F
FLORENCIO VARELA,ESCUELA  EP N°64,1201 N° 4435,9033,9037,0303B
FLORENTINO AMEGHINO,ESCUELA EP N°1,9 N°609,9001,9001,361
GENERAL ALVARADO,ESCUELA EP. N° 11 /ES N° 55,44 ESQ. 57,9001,9002,305
GENERAL ALVEAR,ESCUELA ES N°1,ITALIA 338,9001,9001,310
GENERAL ARENALES,ESCUELA EP N°1,9 DE JULIO N°14,9001,9001,314
GENERAL BELGRANO,MUNICIPALIDAD,J E DE LA FUENTE 826 E MORENO Y PASO,9001,9001,320
GENERAL GUIDO,ESCUELA EP. NRO 16,RIVADAVIA NRO 42 ,9001,9001,326
GENERAL LA MADRID,ESCUELA EP N°7,J.B.ALBERDI 811,9001,9001,330
GENERAL LAS HERAS,ESCUELA EST N° 1,NEUQUEN 33 E/ LAS HERAS Y CASEY,9001,9001,547
GENERAL LAVALLE,ESCUELA ES NRO 1,SAN MARTIN 1175 E LOPEZ DE ARMENTIA,9001,9001,338
GENERAL MADARIAGA,ESCUELA ESTATAL NRO 1 / ES NRO 5,AV. BUENOS AIRES 648 E URRUTIA Y SUBIAUR,9001,9001,340
GENERAL PAZ,ESCUELA EP. NRO 1,SARMIENTO N° 3023 E SAENZ PEÑA Y RANCHOS,9001,9001,345
GENERAL PINTO,ESCUELA ES N°4,AVENIDA MITRE N° 115,9001,9001,354
GENERAL PUEYRREDON,ESCUELA ES NRO 17,PERALTA RAMOS 675,9001,9008,364
GENERAL PUEYRREDON,ASOCIACION VECINAL DE FOMENTO,PRIMERA JUNTA NRO 6521 E BORDAVERE Y TRES ARROYOS,9009,9013,365
GENERAL PUEYRREDON,MUNICIPALIDAD,LA RIOJA 1650 E LURO Y SAN MARTIN,9014,9017,366
GENERAL PUEYRREDON,CLUB GRAL PUEYRREDON SA,HIPOLITO YRIGOYEN NRO 1569 E LURO Y 25 D,9018,9021,367
GENERAL PUEYRREDON,SOCIEDAD DE FOMENTO M ESTRADA,GORRITI 1854,9022,9023,365
GENERAL PUEYRREDON,JARDIN DE INFANTES MUNICIPAL 7,ARGENTINA Y ADOLFO,9024,9025,369
GENERAL PUEYRREDON,ESCUELA ES NRO 79,MAGNASCO NRO 566 E MAGALLANES Y AYOLAS,9026,9029,364
