escuela,direccion,localidad,distrito_nro,ditrito_name,seccion_nro,seccion_name,circuito_nro,circuito_name,cant_mesas,desde,hasta,electores,georeferencia
ESCUELA PROVINCIAL,CALERAS DE CALAMUCHITA,,4,CORDOBA,2,CALAMUCHITA,18B,CALERAS DE CALAMUCHITA,1,3290,3290,210,
ESC.PROV. A.ALSINA,FRANCISCO CESAR,,4,CORDOBA,2,CALAMUCHITA,18C,VILLA CAÑADA DEL SAUCE,1,3291,3291,72,
ESC PROV PEDRO B PALACIOS,MANUEL BELGRANO S/N,,4,CORDOBA,2,CALAMUCHITA,20,LOS REARTES,5,3302,3306,1513,
ESC PROV JUAN LARREA,PUBLICA S/N,,4,CORDOBA,2,CALAMUCHITA,25B,LOS MOLINOS,1,3375,3375,309,
INST PARR SAN JUAN DIEGO,AV INT ANGEL LLANOS 320,,4,CORDOBA,2,CALAMUCHITA,26,SANTA ROSA,12,3376,3387,4059,
IPEM N° 73,REP DE CHILE ESQ GRAL CABRERA,,4,CORDOBA,3,COLON,28,CALERA,8,3436,3443,2736,
COLEGIO PIO LEON,AV 28 DE JULIO 345,,4,CORDOBA,3,COLON,29,COLONIA CAROYA,12,3522,3533,4104,
ESC. PROV. GRAL SAN MARTIN,MAESTRA OLGA PROSDOCIMO 3580,,4,CORDOBA,3,COLON,29,COLONIA CAROYA,10,3544,3553,3412,
ESCUELA M. MORENO,JUSTINIANO CELIZ HEREDIA 650,,4,CORDOBA,3,COLON,29,COLONIA CAROYA,8,3565,3572,2728,
ESC.PROV.B.RIVADAVIA,PUBLICA,,4,CORDOBA,3,COLON,29A,TINOCO,1,3573,3573,283,
ESC PROV DR PABLO RUEDA,PUBLICA S/N,,4,CORDOBA,3,COLON,30,COLONIA TIROLESA,8,3585,3592,2635,
ESC.PROVC.F.O. DE OCAMPO,AV. DR. FRANCISCO N. DE LAPRIDA 649,,4,CORDOBA,3,COLON,33,JESUS MARIA,15,3665,3679,5175,
ESC PROV VICENTE AGUERO,LOTE XVII S/N,,4,CORDOBA,3,COLON,33A,COLONIA VICENTE AGÜERO,1,3698,3698,269,
ESC.COMODORO R. SILIONI,AV. ACONCAGUA S/N,,4,CORDOBA,3,COLON,34,JUAREZ CELMAN,12,3710,3721,4128,
I.P.E.M. N° 24,JUJUY ESQ. SARMIENTO S/N MALVINAS AR,,4,CORDOBA,3,COLON,35,MALVINAS ARGENTINAS,16,3754,3769,5526,
JARDIN DE INF.CAP.CANDELARIA,VILLAFAÑE DEL VISO,,4,CORDOBA,3,COLON,35A,MI GRANJA,3,3770,3772,1024,
IPEM N° 352,NICANOR CEBALLOS,,4,CORDOBA,3,COLON,37,RIO CEBALLOS,13,3775,3787,4446,
INST.PARROQ.NTA.SRA DE LOURDES,JUAN MILICH,,4,CORDOBA,3,COLON,40,UNQUILLO,10,3904,3913,3460,
ESC.PIAS DE MENDIOLAZA,RUTA PROVINCIAL INTERMUNICIPAL E 57,,4,CORDOBA,3,COLON,40A,MENDIOLAZA,12,3914,3925,4071,
INSTITUTO PAULA A.DE SARMIENTO,LAPRIDA/GONZALEZ,,4,CORDOBA,3,COLON,41,VILLA ALLENDE,8,3983,3990,2776,
ESCUELA NOGAL HISTORICO,JOSE ACCASTELLI 252,,4,CORDOBA,3,COLON,41A,SALDAN,13,4038,4050,4498,
ESC.DE COMERCIO J.M.PAZ,VELEZ SARSFIELD 647,,4,CORDOBA,3,COLON,41A,SALDAN,14,4051,4064,4836,
ESC PROV JUAN B ALBERDI,PUBLICA S/N,,4,CORDOBA,4,CRUZ DEL EJE,43B,CRUZ DE CAÑA,2,4076,4077,218,
IPEM N° 253,ALEM ESQ DOMINGO MATEU,,4,CORDOBA,4,CRUZ DEL EJE,44,CRUZ DEL EJE,16,4078,4093,5504,
ESC.PROV.PCIA.DE LA RIOJA,RUTA 75,,4,CORDOBA,4,CRUZ DEL EJE,44A,LAS PLAYAS,3,4154,4156,754,
ESC PROV MANUEL BELGRANO,CAMINO VIEJO S/N,,4,CORDOBA,4,CRUZ DEL EJE,45,EL BRETE,5,4157,4161,1414,
ESC PROV GRAL SAN MARTIN,PUBLICA S/N,,4,CORDOBA,4,CRUZ DEL EJE,46,GUANACO MUERTO,3,4162,4164,932,
ESC PROV JOSE MARIA PAZ,PUBLICA S/N,,4,CORDOBA,4,CRUZ DEL EJE,47,IGLESIA VIEJA,1,4167,4167,92,
ESC PROV GRAL SAN MARTIN,RUTA PROVINCIAL N°15 S/N,,4,CORDOBA,4,CRUZ DEL EJE,48,LA HIGUERA,2,4168,4169,509,
ESC DOMINGO F SARMIENTO,PUBLICA S/N,,4,CORDOBA,4,CRUZ DEL EJE,50A,LOS CHAÑARITOS,3,4174,4176,802,
ESC.PROV.J.V.GONZALEZ,PUBLICA,,4,CORDOBA,4,CRUZ DEL EJE,52,PICHANAS,1,4181,4181,147,
ESCUELA N°395(MANUEL LUCERO),EL ABRA,,4,CORDOBA,4,CRUZ DEL EJE,53B,EL ABRA,1,4184,4184,43,
ESC.PROV.B.RIVADAVIA,AVDA. MALVINAS ARGENTINAS,,4,CORDOBA,4,CRUZ DEL EJE,55,SERREZUELA,8,4194,4201,2675,
ESC.PADRE B.DE LAS CASAS,JOSE IGNACIO PERALTA 249,,4,CORDOBA,4,CRUZ DEL EJE,56,SOTO,9,4203,4211,3005,
E.N.E.T. N°1,JUAN BAUTISTA ALBERDI 2200,,4,CORDOBA,4,CRUZ DEL EJE,56,SOTO,5,4216,4220,1665,
ESC NICOLAS AVELLANEDA,DEAN FUNES ESQ CORRIENTES,,4,CORDOBA,4,CRUZ DEL EJE,56,SOTO,5,4221,4225,1665,
ESC.PROV.J.J.CASTELLI,PUBLICA,,4,CORDOBA,4,CRUZ DEL EJE,57,TUCLAME,4,4226,4229,1322,
ESCUELA J.M.PAZ,JOSE MARIA PAZ   ENRIQUE COOK 444,,4,CORDOBA,5,GENERAL ROCA,60,DEL CAMPILLO,7,4237,4243,2235,
ESC.PROV. D.F. SARMIENTO,PTE. JUAN D.PERON   VILLA TORROBA 75,,4,CORDOBA,5,GENERAL ROCA,61,HUINCA RENANCO,10,4247,4256,3440,
ESC.PASO DE LOS ANDES,GARAY VILLA PACIFICO 121,,4,CORDOBA,5,GENERAL ROCA,61,HUINCA RENANCO,5,4257,4261,1720,
ESC PROV MANUEL BELGRANO,PUBLICA S/N,,4,CORDOBA,5,GENERAL ROCA,65,LECUEDER,1,4286,4286,19,
ESC.PROV. V. MERCANTE,PUBLICA,,4,CORDOBA,5,GENERAL ROCA,67,ONAGOITY,1,4292,4292,64,
ESC.PROV.F.N.LAPRIDA,PUBLICA,,4,CORDOBA,5,GENERAL ROCA,69,RANQUELES,1,4294,4294,45,
INST. DE LOS SAGRADOS CORAZONE,SANTA MARI JOSEFA ROSSELLO 250,,4,CORDOBA,5,GENERAL ROCA,70,VILLA HUIDOBRO,8,4295,4302,2684,
ESC.PROV. D.F.SARMIENTO,PUBLICA,,4,CORDOBA,5,GENERAL ROCA,71,VILLA SARMIENTO,1,4310,4310,297,
ESC.PROV.GRAL SAN MARTIN,25 DE MAYO 551,,4,CORDOBA,6,GRAL SAN MARTIN,75,AUSONIA,3,4334,4336,977,
ESC.PROV. ISLAS MALVINAS,RUTA PROV N 158,,4,CORDOBA,6,GRAL SAN MARTIN,81,MOJARRAS,1,4366,4366,61,
ESC PROV CMTE L PIEDRABUENA,FELIPE LORENZATTI 875,,4,CORDOBA,6,GRAL SAN MARTIN,82,PALESTINA,2,4367,4368,568,
ESC PROV JOSE DE SAN MARTIN,PUBLICA S/N,,4,CORDOBA,6,GRAL SAN MARTIN,84,SANABRIA,1,4373,4373,34,
ESC.PROV.M.GUEMES,ANTONIO CONRERO 24,,4,CORDOBA,6,GRAL SAN MARTIN,86,SILVIO PELLICO,2,4374,4375,633,
ESC.N.AVELLANEDA,BS.AS.E INT.MACIEL,,4,CORDOBA,6,GRAL SAN MARTIN,89,VILLA MARIA,14,4482,4495,4858,
ESC.PROV.FRAY M. ESQUIU,PUBLICA S/N,,4,CORDOBA,7,ISCHILIN,91,AVELLANEDA,2,4658,4659,501,
ESC.PROV.M.MARTINEZ DE SUAREZ,PUBLICA,,4,CORDOBA,7,ISCHILIN,91C,VILLA GUTIERREZ,1,4662,4662,305,
ESC.PROV.H.VIEYTES,PUBLICA,,4,CORDOBA,7,ISCHILIN,92,CAÑADA DE RIO PINTO,2,4663,4664,376,
ESC JUAN M DE PUEYRREDON,PUBLICA S/N,,4,CORDOBA,7,ISCHILIN,93,COPACABANA,2,4665,4666,357,
ESC PROV GRAL M GUEMES,PUBLICA S/N,,4,CORDOBA,7,ISCHILIN,94,CHUÑA,2,4667,4668,601,
ESC.PROV. M.MORENO,DORREGO   OBRAS SANITARIAS 326,,4,CORDOBA,7,ISCHILIN,95,DEAN FUNES,10,4699,4708,3442,
ESC.PROV.GUIDO SPANO,PUBLICA,,4,CORDOBA,7,ISCHILIN,96A,OLIVARES SAN NICOLAS,2,4725,4726,579,
ESCUELA FRAY GUILLERMO BUTLER,PUBLICA S/N,,4,CORDOBA,7,ISCHILIN,98,JAIME PETER,1,4728,4728,59,
ESC PROV JOAQUIN V GONZALEZ,PUBLICA S/N,,4,CORDOBA,7,ISCHILIN,101,TOYOS,1,4746,4746,88,
ESC.PROV.D.F.SARMIENTO,PUBLICA S/N,,4,CORDOBA,8,JUAREZ CELMAN,103,ASSUNTA,1,4762,4762,94,
ESC CARLOS MARIA DE ALVEAR,PUBLICA S/N,,4,CORDOBA,8,JUAREZ CELMAN,110,EL RASTREADOR,1,4836,4836,74,
ESC.PROV.M.BELGRANO,12 DE OCTUBRE,,4,CORDOBA,8,JUAREZ CELMAN,110A,PACHECO DE MELO,1,4837,4837,84,
ESC PROV DOMINGO F SARMIENTO,CARLOS ALBERTO MAYOL S/N,,4,CORDOBA,8,JUAREZ CELMAN,111,HUANCHILLA,4,4838,4841,1176,
ESC.FORTIN HEROICO,ACOSTA 673,,4,CORDOBA,8,JUAREZ CELMAN,112,LA CARLOTA,12,4863,4874,4064,
ESC DOMINGO F SARMIENTO,SRITA BERNARDINA BAIGORRI 229,,4,CORDOBA,8,JUAREZ CELMAN,113,LOS CISNES,3,4875,4877,760,
ESC.PROV.MARTIN DE ALVA,PASO DEL DURAZNO,,4,CORDOBA,8,JUAREZ CELMAN,116A,PASO DEL DURAZNO,1,4885,4885,122,
ESCUELA N.AVELLANEDA,HIPOLITO YRIGOYEN,,4,CORDOBA,9,MARCOS JUAREZ,119,ALEJO LEDESMA,2,4912,4913,632,
ESC JOSE MARIA PAZ,SARMIENTO,,4,CORDOBA,9,MARCOS JUAREZ,121,BALDISSERA,6,4937,4942,1988,
ESC PROV DOMINGO F SARMIENTO,PUBLICA S/N,,4,CORDOBA,9,MARCOS JUAREZ,122,BARGE,1,4943,4943,283,
IPEM N°151 J URBIZU,BV JOSE M ALDAO 1160,,4,CORDOBA,9,MARCOS JUAREZ,123,CAMILO ALDAO,7,4944,4950,2409,
ESC LIB GRAL SAN MARTIN,RIVADAVIA 1252,,4,CORDOBA,9,MARCOS JUAREZ,126,CRUZ ALTA,5,5000,5004,1650,
ESC.PROV.PAULA ALBARRACIN,AV 24 DE SEPTIEMBRE,,4,CORDOBA,9,MARCOS JUAREZ,128A,SALADILLO,1,5022,5022,141,
ESC JOAQUIN V GONZALEZ,RAMON INFANTE 422,,4,CORDOBA,9,MARCOS JUAREZ,131,LEONES,9,5037,5045,3025,
ESC.PROV.GRAL SAN MARTIN,AV ITALIA 448,,4,CORDOBA,9,MARCOS JUAREZ,135,CAP.B.O HIGGINS,1,5160,5160,317,
ESC 9 DE JULIO,ALSINA   SUR 517,,4,CORDOBA,9,MARCOS JUAREZ,136,ROCA,3,5166,5168,993,
ESC MIGUEL DE AZCUENAGA,RUMIACO,,4,CORDOBA,10,MINAS,138A,RUMIACO,1,5175,5175,23,
ESC.PROV.MONS.R. LEAL,PUBLICA,,4,CORDOBA,10,MINAS,138D,TOSNO,1,5179,5179,189,
ESC PROV GRAJ J DE SAN MARTIN,PUBLICA S/N,,4,CORDOBA,10,MINAS,139B,LA PLAYA,1,5182,5182,238,
ESC MARTIN MIGUEL DE GUEMES,OJO DE AGUA DE TOTOX,,4,CORDOBA,10,MINAS,140A,OJO DE AGUA DE TOTOX,1,5184,5184,91,
ESC PROV ANGEL V PEÑALOZA,PUBLICA S/N,,4,CORDOBA,10,MINAS,141A,EL CHACHO,1,5186,5186,161,
ESC.SEC.J.L.DE CABRERA,RIVADAVIA E IRIGOYEN,,4,CORDOBA,10,MINAS,142,SAN CARLOS,7,5187,5193,2103,
ESC.PROV.J.J.CASTELLI.,PUBLICA,,4,CORDOBA,10,MINAS,142A,TALAINI,1,5194,5194,145,
ESC PROV MARIANO MORENO,PUBLICA S/N,,4,CORDOBA,11,POCHO,144,CHANCANI,3,5195,5197,1015,
ESC R ESCALADA DE SAN MARTIN,EL MEDANITO,,4,CORDOBA,11,POCHO,144B,EL MEDANITO,1,5199,5199,68,
ESC.PROV.D.FRENCH,PUBLICA,,4,CORDOBA,11,POCHO,145,POCHO,2,5200,5201,488,
ESC GENERAL JOSE DE SAN MARTIN,AV CURA BROCHERO 150,,4,CORDOBA,11,POCHO,146,SALSACATE,6,5203,5208,1982,
ESC.PROV.M.BELGRANO,TALA CAÑADA,,4,CORDOBA,11,POCHO,146A,TALA CAÑADA,1,5209,5209,302,
ESC HOGAR ALBERTO MAGGI,CEFERINO NAMUNCURA 62,,4,CORDOBA,12,PUNILLA,147A,SAN ROQUE,4,5230,5233,1293,
ESC ESP DR J REYES CONTRERAS,MONS DE ANDREA S/N,,4,CORDOBA,12,PUNILLA,150,COSQUIN,9,5324,5332,3080,
ESC ESTEBAN ECHEVERRIA,CHILE S/N,,4,CORDOBA,12,PUNILLA,152A,VILLA GIARDINO,5,5361,5365,1695,
ESC AERONAUTICA ARGENTINA,OCAMPO Y ROMAN DEHEZA S/N-LA LOMITA,,4,CORDOBA,12,PUNILLA,154,LA FALDA,6,5426,5431,2058,
COLEGIO COSTA AZUL,HUARPES Y COMECHINGONES,,4,CORDOBA,12,PUNILLA,156,VILLA CARLOS PAZ,13,5588,5600,4498,
ESC MERCEDES S M DE BALCARCE,GENERAL SAN MARTIN S/N,,4,CORDOBA,12,PUNILLA,156A,YCHO CRUZ,6,5601,5606,1802,
ESC JUAN JOSE PASO,RUTA PROV. 14-KM.43 CENTRO,,4,CORDOBA,12,PUNILLA,156D,SAN ANTONIO DE ARREDONDO,6,5613,5618,2038,
IPEM 348,RUTA 14 Y CNO A LAS JARILLAS,,4,CORDOBA,12,PUNILLA,156D,SAN ANTONIO DE ARREDONDO,8,5619,5626,2712,
COLEGIO SAN ROQUE,LAVALLE VILLA BUSTOS 2730,,4,CORDOBA,12,PUNILLA,157,SANTA MARIA,6,5628,5633,2082,
ESC BENJAMIN MATIENZO,DR.MIGUEL A. VOCOS S/N TILLARD,,4,CORDOBA,12,PUNILLA,157,SANTA MARIA,4,5634,5637,1388,
ESC JUAN BAUTISTA AZOPARDO,SARMIENTO VILLA BUSTOS 59,,4,CORDOBA,12,PUNILLA,157,SANTA MARIA,7,5638,5644,2428,
IPEM N°84 J VOCOS LESCANO,SAN FRANCISCO LA ESTANCIA 33,,4,CORDOBA,12,PUNILLA,158,TANTI,9,5663,5671,3087,
ESC.PROV.D. FRENCH,CALLE 10,,4,CORDOBA,12,PUNILLA,158A,CABALANGO,2,5672,5673,585,
IPEM N° 332,LOS TALAS ESQ. LAS ROSAS,,4,CORDOBA,12,PUNILLA,158C,VILLA SANTA CRUZ DEL LAGO,9,5678,5686,2881,
ESC PERITO FRANCISCO MORENO,DEAN FUNES Y HEROES ANONIMOS S/N,,4,CORDOBA,13,RIO CUARTO,162,ALCIRA,9,5739,5747,3105,
ANGELES CUSTODIOS/SAGRADA FLIA,ISABEL LA CATOLICA Y E JENNER S/N,,4,CORDOBA,13,RIO CUARTO,165,BANDA NORTE,12,5758,5769,4152,
ESC DR ADOLFO ALSINA,AVENIDA GARIBALDI 740,,4,CORDOBA,13,RIO CUARTO,165,BANDA NORTE,11,5770,5780,3806,
MERC DEL NIÑO JESUS/S FCO ASIS,VICTOR HUGO 885,,4,CORDOBA,13,RIO CUARTO,165,BANDA NORTE,18,5781,5798,6228,
ESC PROVINCIA SANTA CRUZ,SANTA FE ESQ URUGUAY S/N,,4,CORDOBA,13,RIO CUARTO,165,BANDA NORTE,13,5811,5823,4498,
ESC REPUBLICA DEL URUGUAY,SAN LUIS 342,,4,CORDOBA,13,RIO CUARTO,165,BANDA NORTE,6,5824,5829,2076,
IPEM N°95 M SANCHEZ DE THOMPSO,MANCO CAPAC 50,,4,CORDOBA,13,RIO CUARTO,165,BANDA NORTE,14,5830,5843,4830,
CNMA 24-ANEXO PCIA STA CRUZ,EL SALVADOR 840,,4,CORDOBA,13,RIO CUARTO,165,BANDA NORTE,3,5844,5846,1035,
ESC.FRAY M.ALVAREZ,SARMIENTO 187,,4,CORDOBA,13,RIO CUARTO,167,BULNES,4,5866,5869,1056,
INST SEC LA ASUNCION DE MARIA,PASAJE CURA BROCHERO 189,,4,CORDOBA,13,RIO CUARTO,170,ELENA,5,5875,5879,1607,
ESC PROV JOSE DE SAN MARTIN,PUBLICA S/N,,4,CORDOBA,13,RIO CUARTO,175,LA GILDA,1,5905,5905,80,
ESC LEONILA DE LAS M LEMOS,MAIPU NORTE 535,,4,CORDOBA,13,RIO CUARTO,177,LAS ACEQUIAS,8,5907,5914,2638,
ESC.C.G. DE REZZANO,CALLE 11,,4,CORDOBA,13,RIO CUARTO,178A,LAS ALBAHACAS,2,5916,5917,463,
ESC.ALBERGUE J.HERNANDEZ,PUBLICA,,4,CORDOBA,13,RIO CUARTO,178B,VILLA EL CHACAY,1,5918,5918,137,
I.P.E.A Y T.N°186-,CARLOS GARDEL Y CAPITAN CASTAGNARI,,4,CORDOBA,13,RIO CUARTO,179,LAS HIGUERAS,4,5936,5939,1331,
ESC.PROV.J.M.PAZ,AVDA. 22 DE OCTUBRE,,4,CORDOBA,13,RIO CUARTO,180,LAS PEÑAS,1,5940,5940,206,
ESC ANTONIO SOBRAL,PUBLICA S/N,,4,CORDOBA,13,RIO CUARTO,181,LOS CUATRO VIENTOS,1,5941,5941,175,
ESC.PROV.M.BELGRANO,SARMIENTO,,4,CORDOBA,13,RIO CUARTO,184A,MONTE DE LOS GAUCHOS,3,5997,5999,717,
ESC NICOLAS AVELLANEDA,VICENTE LOPEZ 538,,4,CORDOBA,13,RIO CUARTO,186,PUEBLO ALBERDI,13,6001,6013,4485,
IPEMN° 26 JUAN FILLOY,BELISARIO ROLDAN 535,,4,CORDOBA,13,RIO CUARTO,186,PUEBLO ALBERDI,10,6014,6023,3450,
COLEGIO MARIA BENITA ARIAS,MONTEVIDEO 751,,4,CORDOBA,13,RIO CUARTO,186,PUEBLO ALBERDI,10,6024,6033,3450,
ESC GRAL JUSTO S ANAYA,AZOPARDO 1270,,4,CORDOBA,13,RIO CUARTO,186,PUEBLO ALBERDI,15,6034,6048,5175,
INST LANTERIANO LA MERCED,BELISARIO ROLDAN 275,,4,CORDOBA,13,RIO CUARTO,186,PUEBLO ALBERDI,18,6049,6066,6204,
ESC ARZOBISPO ANTONIO ESPINOSA,OLEGARIO ANDRADE 1020,,4,CORDOBA,13,RIO CUARTO,186,PUEBLO ALBERDI,11,6067,6077,3784,
INSTITUTO LA CONSOLATA,HIPOLITO IRIGOYEN 482,,4,CORDOBA,13,RIO CUARTO,189,SAMPACHO,7,6301,6307,2395,
ESC.SAN JUAN BOSCO,PUBLICA,,4,CORDOBA,13,RIO CUARTO,190,SAN AMBROSIO,1,6323,6323,125,
ESC.PROV.R.E.DE SAN MARTIN,REMEDIOS ESCALADA DE SAN MARTIN,,4,CORDOBA,13,RIO CUARTO,191A,MALENA,1,6334,6334,318,
ESC.PROV.J.M.ESTRADA,AVELLANEDA 181,,4,CORDOBA,13,RIO CUARTO,193,TOSQUITA,2,6337,6338,552,
ESC.PROV.J.DE SAN MARTIN,PUBLICA S/N,,4,CORDOBA,14,RIO PRIMERO,195,ATAHONA,1,6341,6341,165,
ESC.PROV.M.MORENO,CALLE 12,,4,CORDOBA,14,RIO PRIMERO,196,CAÑADA DE MACHADO,1,6342,6342,219,
ESC PROV JOAQUIN V GONZALEZ,JOAQUIN V GONZALEZ S/N,,4,CORDOBA,14,RIO PRIMERO,197,LA POSTA,1,6343,6343,345,
ESC PROV MARTIN GUEMES,MARTIN GUEMES S/N,,4,CORDOBA,14,RIO PRIMERO,198,CAPILLA DE REMEDIOS,4,6344,6347,1075,
ESC.PROV.J.M.PAZ,PUBLICA,,4,CORDOBA,14,RIO PRIMERO,209,MAQUINISTA GALLINI,1,6377,6377,164,
ESC.PROV.J.M.PAZ,PUBLICA,,4,CORDOBA,14,RIO PRIMERO,212,MONTE DEL ROSARIO,1,6409,6409,131,
ESC PROV DOMINGO F SARMIENTO,PUBLICA S/N,,4,CORDOBA,14,RIO PRIMERO,212B,EL CRISPIN,1,6410,6410,268,
ESC.PROV.M.BELGRANO,CHACON DE CUESTAS,,4,CORDOBA,14,RIO PRIMERO,215,PLAZA DE MERCEDES,1,6424,6424,126,
ESC PROV JUAN JOSE PASO,PUBLICA S/N,,4,CORDOBA,14,RIO PRIMERO,215A,LA QUINTA,1,6425,6425,229,
ESC.PROV.GRAL SAN MARTIN,PUBLICA,,4,CORDOBA,14,RIO PRIMERO,216,PUNTA DEL AGUA,1,6426,6426,37,
ESC GRAL JOSE DE SAN MARTIN,CORRIENTES   LUCHI 251,,4,CORDOBA,14,RIO PRIMERO,218,RIO PRIMERO,8,6436,6443,2654,
INST DEL SANTISIMO ROSARIO,SAN MARTIN 756,,4,CORDOBA,14,RIO PRIMERO,220,VILLA SANTA ROSA,7,6450,6456,2380,
ESC.PROV.C.SAAVEDRA,PUBLICA,,4,CORDOBA,15,RIO SECO,223,CANDELARIA NORTE,3,6476,6478,825,
ESC GRAL SAN MARTIN,PUBLICA S/N,,4,CORDOBA,15,RIO SECO,225,GUTEMBERG,3,6480,6482,898,
ESC PRO MARTIN GUEMES,PUBLICA S/N,,4,CORDOBA,15,RIO SECO,226,LOS HOYOS,2,6484,6485,447,
ESC PROV GUILLERMO BROWN,PUBLICA S/N,,4,CORDOBA,15,RIO SECO,227A,RINCONADA,2,6491,6492,463,
ESC PROV G MARTINEZ PIZARRO,PUBLICA S/N,,4,CORDOBA,15,RIO SECO,227C,CHAÑAR VIEJO,1,6495,6495,204,
ESC PROV ING FEDERICO NEHHER,PUBLICA S/N,,4,CORDOBA,15,RIO SECO,227D,SANTA ELENA,2,6496,6497,350,
ESC PROV LEOPOLDO LUGONES,SANTIAGO DEL ESTERO S/N,,4,CORDOBA,15,RIO SECO,229A,EUFRASIO LOZA,1,6521,6521,205,
ESCUELA NARCISO LAPRIDA,GRAL JOSE DE SAN MARTIN S/N,,4,CORDOBA,16,RIO SEGUNDO,231,CAPILLA DEL CARMEN,2,6531,6532,391,
ESC PROV SEMANA DE MAYO,ADALGISA 427,,4,CORDOBA,16,RIO SEGUNDO,233,COLAZO,4,6538,6541,1377,
ESC LIB GRAL SAN MARTIN,PUBLICA S/N,,4,CORDOBA,16,RIO SEGUNDO,234,COSTA SACATE,4,6542,6545,1386,
ESC.PROV.D.F.SARMIENTO,PUBLICA,,4,CORDOBA,16,RIO SEGUNDO,236A,COLONIA VIDELA,1,6571,6571,47,
ESC PROV JERONIMO L DE CABRERA,PUBLICA S/N-IMPIRA,,4,CORDOBA,16,RIO SEGUNDO,237B,PUEBLO LUDUEÑA,1,6592,6592,197,
ESC.PROV.D.F.SARMIENTO,CORRIENTES 237,,4,CORDOBA,16,RIO SEGUNDO,238,MATORRALES,3,6593,6595,973,
ESC PROV ESTANISLAO DEL CAMPO,PUBLICA S/N,,4,CORDOBA,16,RIO SEGUNDO,244A,LOS CHAÑARITOS,1,6751,6751,292,
ESC LEONOR DE TEJEDA,AV PELLEGRINI(B°LA CHACARITA) 247,,4,CORDOBA,17,ROQUE SAENZ PEÑA,248,LABOULAYE,6,6810,6815,2076,
ESC.PROV.L.PASTEUR,PUBLICA,,4,CORDOBA,17,ROQUE SAENZ PEÑA,253,MELO,4,6865,6868,1150,
ESC.PROV.M.DE AZCUENAGA,PUBLICA,,4,CORDOBA,18,SAN ALBERTO,259,ALTAUTINA,1,6884,6884,19,
ESC PROV JUAN P PRINGLES,PUBLICA S/N,,4,CORDOBA,18,SAN ALBERTO,260A,EL VOLCAN,1,6888,6888,37,
INST TRANSITO DE MARIA,IRINEO ALTAMIRANO 60,,4,CORDOBA,18,SAN ALBERTO,261,BROCHERO,4,6903,6906,1328,
ESC PROV JUAN MARTIN RECALDE,PUBLICA S/N,,4,CORDOBA,18,SAN ALBERTO,261A,SAN LORENZO,4,6907,6910,1053,
ESC.PROV.GUIDO SPANO,PUBLICA,,4,CORDOBA,18,SAN ALBERTO,261B,VILLA BENEGAS,1,6911,6911,48,
ESC MAESTRO D F SARMIENTO,AV HERNAN CORTEZ 1060,,4,CORDOBA,18,SAN ALBERTO,262,MINA CLAVERO,6,6922,6927,2034,
IPEM 135-DON JOSE F RECALDE,LOS PORTEÑOS y CALLE PUBLICA,,4,CORDOBA,18,SAN ALBERTO,263,NONO,3,6943,6945,922,
ESC J V LOPEZ(EX-NAC N°493),RUTA N°14 Y ESMERALDA,,4,CORDOBA,18,SAN ALBERTO,263C,ARROYO DE LOS PATOS,3,6948,6950,713,
ESC.PROV.M.BELGRANO,RUTA NAC 14,,4,CORDOBA,18,SAN ALBERTO,263E,LAS RABONAS,3,6953,6955,779,
ESC.P.PIZZURNO,PUBLICA,,4,CORDOBA,18,SAN ALBERTO,264,PANAHOLMA,2,6956,6957,399,
INST. AGROTECNICO STELLA MARIS,JUAN PABLO II-RUTA CNO CHANCANI,,4,CORDOBA,18,SAN ALBERTO,265,SAN PEDRO,5,6968,6972,1636,
ESC.PROV.FRAY L.BELTRAN,PUBLICA,,4,CORDOBA,18,SAN ALBERTO,265C,SAUCE ARRIBA,3,6988,6990,865,
ESC PROV NARCISO LAPRIDA,PUBLICA S/N,,4,CORDOBA,19,SAN JAVIER,267,CONLARA,2,6997,6998,430,
ESC GENERAL SAN MARTIN,EDISON 130,,4,CORDOBA,19,SAN JAVIER,268,DOLORES,14,7034,7047,4802,
COLEGIO SAGRADO CORAZON,HORMAECHE 375,,4,CORDOBA,19,SAN JAVIER,268,DOLORES,9,7055,7063,3087,
ESC PROV JOSE M PAZ,VELEZ SARSFIELD Y BRAULIO FUNES,,4,CORDOBA,19,SAN JAVIER,269,LA PAZ,5,7085,7089,1700,
ESC.PROV.J.M.ESTRADA,PUBLICA,,4,CORDOBA,19,SAN JAVIER,269A,QUEBRACHO LADEADO,2,7090,7091,398,
ESCUELA PROVINCIAL,PUBLICA S/N,,4,CORDOBA,19,SAN JAVIER,274A,LA POBLACION,2,7123,7124,503,
ESC PROV ALTE GUILLERMO BROWN,ALICIA ROSSI 441,,4,CORDOBA,20,SAN JUSTO,279A,EL FUERTECITO,2,7217,7218,375,
ESCUELA N°349 (ESC JUAN BEIRO),BEIRO,,4,CORDOBA,20,SAN JUSTO,281,BEIRO,1,7236,7236,192,
IPETIN 262 BELISARIO ROLDAN,DR PITT FUNES 547,,4,CORDOBA,20,SAN JUSTO,282,BRINKMANN,9,7254,7262,3030,
ESC CONGRESO DE TUCUMAN,COLONIA PICHANAS,,4,CORDOBA,20,SAN JUSTO,283A,COLONIA PICHANAS,1,7269,7269,182,
ESC PROV L DE LA TORRE,PUBLICA S/N,,4,CORDOBA,20,SAN JUSTO,287,DOS HERMANOS,1,7288,7288,144,
