escuela,direccion,barrio,seccion_nro,seccion_name,circuito_nro,circuito_name,cant_mesas,desde,hasta,electores,ciudad,provincia,pais,geo,Latitud,Longitud,Encontrado,Calidad,Origen
ESC BERNARDINO RIVADAVIA,SAN MARTIN 694,,9,MARCOS JUAREZ,133,MARCOS JUAREZ,10,5102,5111,3430,MARCOS JUAREZ,Córdoba,Argentina,"SAN MARTIN 694, MARCOS JUAREZ, Córdoba, Argentina",-32.6974868,-62.1014599,"San Martín 694, X2580GBU Marcos Juárez, Córdoba, Argentina",Match,Google
IPEM N°51 NICOLAS AVELLANEDA,MARCOS JUAREZ,,9,MARCOS JUAREZ,133,MARCOS JUAREZ,11,5112,5122,3773,MARCOS JUAREZ,Córdoba,Argentina,"MARCOS JUAREZ, MARCOS JUAREZ, Córdoba, Argentina",-32.6978556,-62.1057979,"Marcos Juárez, Cordoba, Argentina",Match,Google
ESC MARIANO MORENO - SAN JUAN - SUR 1.090,SAN JUAN,,9,MARCOS JUAREZ,133,MARCOS JUAREZ,8,5123,5130,2742,MARCOS JUAREZ,Córdoba,Argentina,"SAN JUAN, MARCOS JUAREZ, Córdoba, Argentina",-32.7033001,-62.1086539,"San Juan, X2580 Marcos Juárez, Córdoba, Argentina",Match,Google
ESCUELA BARTOLOME MITRE,HIPOLITO YRIGOYEN,HIPOLITO YRIGOYEN 1409,9,MARCOS JUAREZ,133,MARCOS JUAREZ,7,5131,5137,2394,MARCOS JUAREZ,Córdoba,Argentina,"HIPOLITO YRIGOYEN, MARCOS JUAREZ, Córdoba, Argentina",-32.6942919,-62.1043014,"Blvd. H. Yrigoyen, X2580 Marcos Juárez, Córdoba, Argentina",Match,Google
INSTITUTO MARIA INMACULADA,MARCOS JUAREZ,,9,MARCOS JUAREZ,133,MARCOS JUAREZ,5,5138,5142,1710,MARCOS JUAREZ,Córdoba,Argentina,"MARCOS JUAREZ, MARCOS JUAREZ, Córdoba, Argentina",-32.6978556,-62.1057979,"Marcos Juárez, Cordoba, Argentina",Match,Google
ESC JOSE MANUEL ESTRADA,MONTE BUEY,,9,MARCOS JUAREZ,134,MONTE BUEY,8,5143,5150,2648,MONTE BUEY,Córdoba,Argentina,"MONTE BUEY, MONTE BUEY, Córdoba, Argentina",-32.9142634,-62.4545284,"Monte Buey, Córdoba, Argentina",Match,Google
ESC MANUEL BELGRANO,MONTE BUEY,,9,MARCOS JUAREZ,134,MONTE BUEY,6,5151,5156,1985,MONTE BUEY,Córdoba,Argentina,"MONTE BUEY, MONTE BUEY, Córdoba, Argentina",-32.9142634,-62.4545284,"Monte Buey, Córdoba, Argentina",Match,Google
INST.SEC.GRAL J.M.PAZ,MONTE BUEY,,9,MARCOS JUAREZ,134,MONTE BUEY,3,5157,5159,990,MONTE BUEY,Córdoba,Argentina,"MONTE BUEY, MONTE BUEY, Córdoba, Argentina",-32.9142634,-62.4545284,"Monte Buey, Córdoba, Argentina",Match,Google
INSTITUTO MANUEL BELGRANO,SAIRA,,9,MARCOS JUAREZ,137,SAIRA,3,5169,5171,762,SAIRA,Córdoba,Argentina,"SAIRA, SAIRA, Córdoba, Argentina",-32.4098406,-62.1020453,"Saira, Córdoba, Argentina",Match,Google
ESC PROV NIÑAS DE AYOHUMA,PUBLICA S/N,,10,MINAS,138C,ESTANCIA DE GUADALUPE,2,5177,5178,413,ESTANCIA DE GUADALUPE,Córdoba,Argentina,"PUBLICA S/N, ESTANCIA DE GUADALUPE, Córdoba, Argentina",-31.1333294,-65.2666702,"Calle Públicas/n, Estancia de Guadalupe, Córdoba, Argentina",Match,Google
LOCAL COMUNAL,,,10,MINAS,139,GUASAPAMPA,1,5180,5180,300,GUASAPAMPA,Córdoba,Argentina,", GUASAPAMPA, Córdoba, Argentina",-31.0833302,-65.3333511,"Guasapampa, Córdoba, Argentina",Match,Google
ESC.PROV.R.VERA PEÑALOZA,AGUA DE RAMON,,10,MINAS,139A,AGUA DE RAMON,1,5181,5181,84,AGUA DE RAMON,Córdoba,Argentina,"AGUA DE RAMON, AGUA DE RAMON, Córdoba, Argentina",-31.3095015,-64.2956126,"Aguas de Ramón, Córdoba, Argentina",Match,Google
ESC PRIMARIA JORGE LUIS BORGES,PIEDRITA BLANCA,,10,MINAS,141,PIEDRITA BLANCA,1,5185,5185,60,PIEDRITA BLANCA,Córdoba,Argentina,"PIEDRITA BLANCA, PIEDRITA BLANCA, Córdoba, Argentina",-30.8067189,-65.4304662,"Piedrita Blanca, Córdoba, Argentina",Match,Google
ESC.PROV.L.LUGONES,PUBLICA,,11,POCHO,144A,LAS JARILLAS,1,5198,5198,91,LAS JARILLAS,Córdoba,Argentina,"PUBLICA, LAS JARILLAS, Córdoba, Argentina",-32.0242376,-65.0143231,"Calle publica sin numero, X5875 San Javier, Córdoba, Argentina",Match,Google
ESCUELA N°157,LAS PALMAS,,11,POCHO,145A,LAS PALMAS,1,5202,5202,257,LAS PALMAS,Córdoba,Argentina,"LAS PALMAS, LAS PALMAS, Córdoba, Argentina",-30.6506811,-64.3940217,"Las Palmas, Córdoba, Argentina",Match,Google
ESC.PROV. E.ECHEVERRIA,SAN JERONIMO,,11,POCHO,146B,SAN JERONIMO,1,5210,5210,274,SAN JERONIMO,Córdoba,Argentina,"SAN JERONIMO, SAN JERONIMO, Córdoba, Argentina",-31.4000828,-64.2132116,"Córdoba, Cordoba, Argentina",Match,Google
ESC DR JERONIMO J DEL BARCO,VILLA PARQUE SIQUIMAN,,12,PUNILLA,147B,VILLA PARQUE SIQUIMAN,7,5234,5240,2105,VILLA PARQUE SIQUIMAN,Córdoba,Argentina,"VILLA PARQUE SIQUIMAN, VILLA PARQUE SIQUIMAN, Córdoba, Argentina",-31.3448304,-64.4756248,"Villa Parque Síquiman, Córdoba, Argentina",Match,Google
ESC GRAL JOSE DE SAN MARTIN,SARMIENTO 380,,12,PUNILLA,148,CAPILLA DEL MONTE,8,5241,5248,2768,CAPILLA DEL MONTE,Córdoba,Argentina,"SARMIENTO 380, CAPILLA DEL MONTE, Córdoba, Argentina",-30.8563755,-64.5259126,"Sarmiento 380, X5184 Capilla del Monte, Córdoba, Argentina",Match,Google
IPEM N° 279,HIPOLITO YRIGOYEN 450,,12,PUNILLA,148,CAPILLA DEL MONTE,13,5249,5261,4498,CAPILLA DEL MONTE,Córdoba,Argentina,"HIPOLITO YRIGOYEN 450, CAPILLA DEL MONTE, Córdoba, Argentina",-30.8572239,-64.5276778,"Hipólito Yrigoyen 450, X5184 Capilla del Monte, Córdoba, Argentina",Match,Google
ESC ESP JUAN MANUEL FERNANDEZ,AV PUEYRREDON 131,,12,PUNILLA,148,CAPILLA DEL MONTE,10,5262,5271,3455,CAPILLA DEL MONTE,Córdoba,Argentina,"AV PUEYRREDON 131, CAPILLA DEL MONTE, Córdoba, Argentina",-30.8574974,-64.5213575,"Pueyrredón 131, X5184AAB Capilla del Monte, Córdoba, Argentina",Match,Google
ESC GRAL JOSE DE SAN MARTIN,RUTA NACIONAL N°38,,12,PUNILLA,149,CASA GRANDE,3,5272,5274,763,CASA GRANDE,Córdoba,Argentina,"RUTA NACIONAL N°38, CASA GRANDE, Córdoba, Argentina",-31.1677639,-64.4759142,"RN38, Argentina",Match,Google
ESC P ALBARRACIN DE SARMIENTO,PUBLICA S/N,,12,PUNILLA,151,CHARBONIER,3,5333,5335,704,CHARBONIER,Córdoba,Argentina,"PUBLICA S/N, CHARBONIER, Córdoba, Argentina",-30.7749768,-64.5898924,"Calle Publica, San Marcos Sierras, Córdoba, Argentina",Match,Google
ESC BERNARDINO RIVADAVIA,HUERTA GRANDE,,12,PUNILLA,152,HUERTA GRANDE,8,5336,5343,2687,HUERTA GRANDE,Córdoba,Argentina,"HUERTA GRANDE, HUERTA GRANDE, Córdoba, Argentina",-31.0752734,-64.4908722,"Huerta Grande, Córdoba, Argentina",Match,Google
IPEM N° 339,LOS COCOS ESQ PEPERINA,,12,PUNILLA,152A,VILLA GIARDINO,7,5354,5360,2377,VILLA GIARDINO,Córdoba,Argentina,"LOS COCOS ESQ PEPERINA, VILLA GIARDINO, Córdoba, Argentina",-31.0530636,-64.4954479,"Los Cocos & Peperina, Villa Giardino, Córdoba, Argentina",Match,Google
COL JUANA MICONO DE GIARDIN,AV SAN MARTIN 762,,12,PUNILLA,152A,VILLA GIARDINO,4,5366,5369,1356,VILLA GIARDINO,Córdoba,Argentina,"AV SAN MARTIN 762, VILLA GIARDINO, Córdoba, Argentina",-31.04958,-64.4920296,"Av. San Martín 762, Villa Giardino, Córdoba, Argentina",Match,Google
ESC MATEO J MOLINA,AV EDEN 445,,12,PUNILLA,154,LA FALDA,10,5409,5418,3430,LA FALDA,Córdoba,Argentina,"AV EDEN 445, LA FALDA, Córdoba, Argentina",-31.09299,-64.4819709,"Av. Eden 445, La Falda, Córdoba, Argentina",Match,Google
ESC INES MOYANO DE MOLINA,SAN ESTEBAN,,12,PUNILLA,155,SAN ESTEBAN,3,5432,5434,805,SAN ESTEBAN,Córdoba,Argentina,"SAN ESTEBAN, SAN ESTEBAN, Córdoba, Argentina",-30.91556,-64.532417,"San Esteban, Córdoba, Argentina",Match,Google
ESC DRA CECILIA GRIERSON,LOS COCOS,,12,PUNILLA,155A,LOS COCOS,3,5435,5437,1018,LOS COCOS,Córdoba,Argentina,"LOS COCOS, LOS COCOS, Córdoba, Argentina",-30.9265379,-64.5004742,"Los Cocos, Córdoba, Argentina",Match,Google
INST BERNARDO D'ELIA,ASUNCION,B°LA QUINTA 440,12,PUNILLA,156,VILLA CARLOS PAZ,15,5498,5512,5190,VILLA CARLOS PAZ,Córdoba,Argentina,"ASUNCION, VILLA CARLOS PAZ, Córdoba, Argentina",-31.4195857,-64.5092561,"Asunción, Villa Carlos Paz, Córdoba, Argentina",Match,Google
INST INDUSTRIAL CRISTO OBRERO,FLORENCIO SANCHEZ S/N,B°LAS MALVINAS,12,PUNILLA,156,VILLA CARLOS PAZ,10,5529,5538,3460,VILLA CARLOS PAZ,Córdoba,Argentina,"FLORENCIO SANCHEZ S/N, VILLA CARLOS PAZ, Córdoba, Argentina",-31.430176,-64.488893,"Florencio Sanchez s/n, 5152 Villa Carlos Paz, Córdoba, Argentina",Match,Google
PRIMARIO JOSE DE SAN MARTIN,AMEGHINO Y BALCARCE,,12,PUNILLA,156,VILLA CARLOS PAZ,8,5539,5546,2768,VILLA CARLOS PAZ,Córdoba,Argentina,"AMEGHINO Y BALCARCE, VILLA CARLOS PAZ, Córdoba, Argentina",-31.4132508,-64.5024725,"Ameghino & Balcarce, Villa Carlos Paz, Córdoba, Argentina",Match,Google
IPEM N° 365-DR RENE FAVALORO,GOBERNADOR ALVAREZ 131,,12,PUNILLA,156,VILLA CARLOS PAZ,10,5547,5556,3460,VILLA CARLOS PAZ,Córdoba,Argentina,"GOBERNADOR ALVAREZ 131, VILLA CARLOS PAZ, Córdoba, Argentina",-31.4036843,-64.47557,"Gdor. Álvarez 131, Villa Carlos Paz, Córdoba, Argentina",Match,Google
INST BILINGUE DANTE ALIGHIERI,ALFONSINA STORNI Y LOS ALERCES,,12,PUNILLA,156,VILLA CARLOS PAZ,17,5557,5573,5882,VILLA CARLOS PAZ,Córdoba,Argentina,"ALFONSINA STORNI Y LOS ALERCES, VILLA CARLOS PAZ, Córdoba, Argentina",-31.4244087,-64.5199525,"Alfonsina Storni & Los Alerces, Villa Carlos Paz, Córdoba, Argentina",Match,Google
EDIFICIO COMUNAL,MAYU SUMAJ,,12,PUNILLA,156C,MAYU SUMAJ,4,5609,5612,1244,MAYU SUMAJ,Córdoba,Argentina,"MAYU SUMAJ, MAYU SUMAJ, Córdoba, Argentina",-31.465565,-64.538652,"Los Aromos 250, X5153 San Antonio de Arredondo, Córdoba, Argentina",Match,Google
EDIFICIO COMUNAL,TALA HUASI,,12,PUNILLA,156E,TALA HUASI,1,5627,5627,232,TALA HUASI,Córdoba,Argentina,"TALA HUASI, TALA HUASI, Córdoba, Argentina",-31.4681412,-64.5707709,"Acceso a Camping Tala Huasi, Córdoba, Argentina",Match,Google
INST. SEC. ORIENTACION REGIONA,VILLA BUSTOS,,12,PUNILLA,157,SANTA MARIA,8,5645,5652,2768,SANTA MARIA,Córdoba,Argentina,"VILLA BUSTOS, SANTA MARIA, Córdoba, Argentina",-31.2657738,-64.460387,"Alte Brown S/N, 5164 Santa María de Punilla, Córdoba, Argentina",Match,Google
LOCAL COMUNAL,ESTANCIA VIEJA,,12,PUNILLA,158B,ESTANCIA VIEJA,4,5674,5677,1300,ESTANCIA VIEJA,Córdoba,Argentina,"ESTANCIA VIEJA, ESTANCIA VIEJA, Córdoba, Argentina",-31.4367781,-64.2277223,"Lagunilla 2936 Local 1, Rosedal, X5011EJR Córdoba, Argentina",Match,Google
ESC DOMINGO FAUSTINO SARMIENTO,ACHIRAS,,13,RIO CUARTO,160,ACHIRAS,8,5704,5711,2680,ACHIRAS,Córdoba,Argentina,"ACHIRAS, ACHIRAS, Córdoba, Argentina",-33.1677208,-65.0006104,"Achiras, Córdoba, Argentina",Match,Google
ESC PROV DOMINGO F SARMIENTO,PUBLICA S/N,,13,RIO CUARTO,160A,LA CAROLINA,1,5712,5712,251,LA CAROLINA,Córdoba,Argentina,"PUBLICA S/N, LA CAROLINA, Córdoba, Argentina",-31.3528055,-64.3001146,"Unnamed Rd, Córdoba, Argentina",Match,Google
IPEM N° 119 NESTOR ZARAZAGA,PUBLICA S/N,,13,RIO CUARTO,163,ALPA CORRAL,4,5748,5751,1233,ALPA CORRAL,Córdoba,Argentina,"PUBLICA S/N, ALPA CORRAL, Córdoba, Argentina",-32.6922111,-64.7179401,"Calle Pública S/n, Alpa Corral, Córdoba, Argentina",Match,Google
INST SUP RAMON MENENDEZ PIDAL,AV JOSE GARIBALDI 50,,13,RIO CUARTO,165,BANDA NORTE,12,5799,5810,4152,BANDA NORTE,Córdoba,Argentina,"AV JOSE GARIBALDI 50, BANDA NORTE, Córdoba, Argentina",-33.103076,-64.337212,"Av General José Garibaldi 149, Banda Norte, X5804CXC Río Cuarto, Córdoba, Argentina",Match,Google
ESC RICARDO GUTIERREZ,ELENA,,13,RIO CUARTO,170,ELENA,4,5880,5883,1284,ELENA,Córdoba,Argentina,"ELENA, ELENA, Córdoba, Argentina",-32.5708433,-64.3948091,"Elena, Córdoba, Argentina",Match,Google
ESC.PROV.C.SAAVEDRA,HOLMBERG,,13,RIO CUARTO,172,HOLMBERG,6,5885,5890,2003,HOLMBERG,Córdoba,Argentina,"HOLMBERG, HOLMBERG, Córdoba, Argentina",-33.2053581,-64.4379265,"Santa Catalina, Córdoba, Argentina",Match,Google
ESC.S.R.DE ZAVALIA,HOLMBERG,,13,RIO CUARTO,172,HOLMBERG,6,5891,5896,1998,HOLMBERG,Córdoba,Argentina,"HOLMBERG, HOLMBERG, Córdoba, Argentina",-33.2053581,-64.4379265,"Santa Catalina, Córdoba, Argentina",Match,Google
IPEM N° 125 R SCALABRINI ORTIZ,,,13,RIO CUARTO,172,HOLMBERG,4,5897,5900,1332,HOLMBERG,Córdoba,Argentina,", HOLMBERG, Córdoba, Argentina",-33.2053581,-64.4379265,"Santa Catalina, Córdoba, Argentina",Match,Google
ESC.PROV.J.DE SAN MARTIN,LAS CAÑITAS,,13,RIO CUARTO,178,LAS CAÑITAS,1,5915,5915,71,LAS CAÑITAS,Córdoba,Argentina,"LAS CAÑITAS, LAS CAÑITAS, Córdoba, Argentina",-31.8822997,-64.7206439,"Córdoba, Argentina",Match,Google
INST JUAN PASCUAL PRINGLES,AV CARLOS S YDE 684,,13,RIO CUARTO,183,VICUÑA MACKENNA,10,5945,5954,3359,VICUÑA MACKENNA,Córdoba,Argentina,"AV CARLOS S YDE 684, VICUÑA MACKENNA, Córdoba, Argentina",-33.9180792,-64.3905288,"Av. Carlos San Yde 684, Vicuña Mackenna, Córdoba, Argentina",Match,Google
ESC GUIDO SPANO - SARMIENTO - CENTRO 672,SARMIENTO,,13,RIO CUARTO,183,VICUÑA MACKENNA,8,5955,5962,2680,VICUÑA MACKENNA,Córdoba,Argentina,"SARMIENTO, VICUÑA MACKENNA, Córdoba, Argentina",-33.9156867,-64.389892,"Plaza Sarmiento, Vicuña Mackenna, Córdoba, Argentina",Match,Google
ESC FRAY MARCOS DONATTI,MOLDES,,13,RIO CUARTO,184,MOLDES,9,5973,5981,3078,MOLDES,Córdoba,Argentina,"MOLDES, MOLDES, Córdoba, Argentina",-33.6231536,-64.5970878,"Coronel Moldes, Córdoba, Argentina",Match,Google
IPEM N°94 DOLORES L DE LAVALLE,MOLDES,,13,RIO CUARTO,184,MOLDES,8,5982,5989,2730,MOLDES,Córdoba,Argentina,"MOLDES, MOLDES, Córdoba, Argentina",-33.6231536,-64.5970878,"Coronel Moldes, Córdoba, Argentina",Match,Google
ESC NICOLAS AVELLANEDA,MOLDES,,13,RIO CUARTO,184,MOLDES,7,5990,5996,2387,MOLDES,Córdoba,Argentina,"MOLDES, MOLDES, Córdoba, Argentina",-33.6231536,-64.5970878,"Coronel Moldes, Córdoba, Argentina",Match,Google
ESC CAP DE NAV S ALBARRACIN,PUEYRREDON,,13,RIO CUARTO,187,PUEYRREDON,1,6078,6078,111,PUEYRREDON,Córdoba,Argentina,"PUEYRREDON, PUEYRREDON, Córdoba, Argentina",-31.3405646,-64.1831381,"Pueyrredón, Córdoba, Argentina",Match,Google
ESC.NORM.NAC.MIXTA,CONSTITUCION 1040,,13,RIO CUARTO,188,RIO CUARTO,24,6079,6102,8328,RIO CUARTO,Córdoba,Argentina,"CONSTITUCION 1040, RIO CUARTO, Córdoba, Argentina",-33.1268842,-64.3506521,"Constitución 1040, X5800 Río Cuarto, Córdoba, Argentina",Match,Google
ESC FLORENTINO AMEGHINO,9 DE JULIO 314,,13,RIO CUARTO,188,RIO CUARTO,10,6115,6124,3470,RIO CUARTO,Córdoba,Argentina,"9 DE JULIO 314, RIO CUARTO, Córdoba, Argentina",-33.118642,-64.3532715,"9 de Julio 314, X5800BKG Río Cuarto, Córdoba, Argentina",Match,Google
DICHIARA-EX ESC.GRAL S.MARTIN,BOLIVAR Y ALBERDI,,13,RIO CUARTO,188,RIO CUARTO,9,6125,6133,3123,RIO CUARTO,Córdoba,Argentina,"BOLIVAR Y ALBERDI, RIO CUARTO, Córdoba, Argentina",-33.1273274,-64.3463801,"Alberdi & Bolívar, X5800 Río Cuarto, Córdoba, Argentina",Match,Google
ESCUELA GENERAL PAZ,MITRE 850,,13,RIO CUARTO,188,RIO CUARTO,13,6134,6146,4511,RIO CUARTO,Córdoba,Argentina,"MITRE 850, RIO CUARTO, Córdoba, Argentina",-33.1238787,-64.3527784,"Mitre 850, X5800 Río Cuarto, Córdoba, Argentina",Match,Google
COL NTRA SRA DEL CARMEN,BAIGORRIA 373,,13,RIO CUARTO,188,RIO CUARTO,17,6147,6163,5899,RIO CUARTO,Córdoba,Argentina,"BAIGORRIA 373, RIO CUARTO, Córdoba, Argentina",-33.1224799,-64.3439953,"Baigorria 373, X5800CQG Río Cuarto, Córdoba, Argentina",Match,Google
ESC ALTE BROWN,RIO QUINTO 660,,13,RIO CUARTO,188,RIO CUARTO,8,6164,6171,2776,RIO CUARTO,Córdoba,Argentina,"RIO QUINTO 660, RIO CUARTO, Córdoba, Argentina",-33.1089072,-64.3534664,"Río Quinto 660, Río Cuarto, Córdoba, Argentina",Match,Google
ESCUELA GRAL ROCA,PASO 790,,13,RIO CUARTO,188,RIO CUARTO,12,6172,6183,4164,RIO CUARTO,Córdoba,Argentina,"PASO 790, RIO CUARTO, Córdoba, Argentina",-33.1267521,-64.3381644,"Paso 790, X5800 Río Cuarto, Córdoba, Argentina",Match,Google
ESC BARTOLOME MITRE,LAVALLE 1452,,13,RIO CUARTO,188,RIO CUARTO,12,6184,6195,4164,RIO CUARTO,Córdoba,Argentina,"LAVALLE 1452, RIO CUARTO, Córdoba, Argentina",-33.1325486,-64.3450023,"Lavalle 1452, X5800 Río Cuarto, Córdoba, Argentina",Match,Google
ESC 21 DE JULIO,BAIGORRIA 552,,13,RIO CUARTO,188,RIO CUARTO,10,6196,6205,3470,RIO CUARTO,Córdoba,Argentina,"BAIGORRIA 552, RIO CUARTO, Córdoba, Argentina",-33.1229368,-64.3422453,"Baigorria 552, X5800 Río Cuarto, Córdoba, Argentina",Match,Google
ESC MANUEL BELGRANO,SOBREMONTE 1333,,13,RIO CUARTO,188,RIO CUARTO,14,6206,6219,4858,RIO CUARTO,Córdoba,Argentina,"SOBREMONTE 1333, RIO CUARTO, Córdoba, Argentina",-33.1299558,-64.3504051,"Sobremonte 1333, X5800ABA Río Cuarto, Córdoba, Argentina",Match,Google
E.N.E.T. N° 1,BAIGORRIA 527,,13,RIO CUARTO,188,RIO CUARTO,12,6220,6231,4164,RIO CUARTO,Córdoba,Argentina,"BAIGORRIA 527, RIO CUARTO, Córdoba, Argentina",-33.1228747,-64.3425005,"Baigorria 527, X5800CQK Río Cuarto, Córdoba, Argentina",Match,Google
ESC.NORMAL COMERCIAL,BAIGORRIA 463,,13,RIO CUARTO,188,RIO CUARTO,27,6232,6258,9346,RIO CUARTO,Córdoba,Argentina,"BAIGORRIA 463, RIO CUARTO, Córdoba, Argentina",-33.1227228,-64.3431382,"Baigorria 463, X5800CQI Río Cuarto, Córdoba, Argentina",Match,Google
ESC VELEZ SARSFIELD,MENDOZA 1502,,13,RIO CUARTO,188,RIO CUARTO,10,6259,6268,3460,RIO CUARTO,Córdoba,Argentina,"MENDOZA 1502, RIO CUARTO, Córdoba, Argentina",-33.1306429,-64.3560255,"Mendoza 1502, X5800 Río Cuarto, Córdoba, Argentina",Match,Google
ESCUELA PIAS,BV GRAL ROCA 701,,13,RIO CUARTO,188,RIO CUARTO,8,6269,6276,2768,RIO CUARTO,Córdoba,Argentina,"BV GRAL ROCA 701, RIO CUARTO, Córdoba, Argentina",-33.1282872,-64.342464,"Bv. Gral. Roca 701, X5800 Río Cuarto, Córdoba, Argentina",Match,Google
COLEGIO GALILEO GALILEI,ALVEAR 1040,,13,RIO CUARTO,188,RIO CUARTO,12,6277,6288,4152,RIO CUARTO,Córdoba,Argentina,"ALVEAR 1040, RIO CUARTO, Córdoba, Argentina",-33.1266311,-64.3515707,"Alvear 1040, X5800 Río Cuarto, Córdoba, Argentina",Match,Google
COLEGIO HISPANO ARGENTINO,FOTHERINGHAM 68,,13,RIO CUARTO,188,RIO CUARTO,12,6289,6300,4152,RIO CUARTO,Córdoba,Argentina,"FOTHERINGHAM 68, RIO CUARTO, Córdoba, Argentina",-33.1214521,-64.3485979,"Fotheringham 68, X5800DGA Río Cuarto, Córdoba, Argentina",Match,Google
ESC SAN MARTIN,SAMPACHO,,13,RIO CUARTO,189,SAMPACHO,7,6308,6314,2394,SAMPACHO,Córdoba,Argentina,"SAMPACHO, SAMPACHO, Córdoba, Argentina",-33.3843884,-64.7230317,"Sampacho, Córdoba, Argentina",Match,Google
INSTPABLO ANTONIO PIZZURNO,SAMPACHO,,13,RIO CUARTO,189,SAMPACHO,8,6315,6322,2736,SAMPACHO,Córdoba,Argentina,"SAMPACHO, SAMPACHO, Córdoba, Argentina",-33.3843884,-64.7230317,"Sampacho, Córdoba, Argentina",Match,Google
ESC R ESCALADA DE SAN MARTIN,SUCO,,13,RIO CUARTO,192,SUCO,2,6335,6336,473,SUCO,Córdoba,Argentina,"SUCO, SUCO, Córdoba, Argentina",-33.4407592,-64.8310838,"Suco, Córdoba, Argentina",Match,Google
ESCUELA N°359,WASHINGTON,,13,RIO CUARTO,194,WASHINGTON,3,6339,6340,563,WASHINGTON,Córdoba,Argentina,"WASHINGTON, WASHINGTON, Córdoba, Argentina",-33.87376,-64.6895089,"Washington, Córdoba, Argentina",Match,Google
ESCUELA N°315,CHALACEA,,14,RIO PRIMERO,199,CHALACEA,1,6348,6348,239,CHALACEA,Córdoba,Argentina,"CHALACEA, CHALACEA, Córdoba, Argentina",-30.762136,-63.5590964,"Chalacea, Córdoba, Argentina",Match,Google
ESC JOSE MARIA PAZ,LAS CUATRO ESQUINAS,,14,RIO PRIMERO,201,COLONIA LAS CUATRO ESQUINAS,1,6351,6351,122,COLONIA LAS CUATRO ESQUINAS,Córdoba,Argentina,"LAS CUATRO ESQUINAS, COLONIA LAS CUATRO ESQUINAS, Córdoba, Argentina",-31.2079948,-63.223266,"Col. las Cuatro Esquinas, Córdoba, Argentina",Match,Google
ESC MAEST F BELLORA DE DAVILA,LAS GRAMILLAS,,14,RIO PRIMERO,201A,LAS GRAMILLAS,1,6352,6352,142,LAS GRAMILLAS,Córdoba,Argentina,"LAS GRAMILLAS, LAS GRAMILLAS, Córdoba, Argentina",-30.7659214,-64.6612541,"Av. Cacique Tulian, San Marcos Sierras, Córdoba, Argentina",Match,Google
ESC MARIANO FRAGUEIRO,MARIANO FRAGUEIRO 385,,14,RIO PRIMERO,204,LA PARA,5,6362,6366,1711,LA PARA,Córdoba,Argentina,"MARIANO FRAGUEIRO 385, LA PARA, Córdoba, Argentina",-31.4098866,-64.1926865,"Mariano Fragueiro 275, X5000KRE Córdoba, Argentina",Match,Google
ESCUELA N°411,LA CAÑADA,,14,RIO PRIMERO,206,LAS HERAS,1,6374,6374,57,LAS HERAS,Córdoba,Argentina,"LA CAÑADA, LAS HERAS, Córdoba, Argentina",-31.404757,-64.1833358,"Blvd. Las Heras 234, Córdoba, Argentina",Match,Google
ESC DALMIRA MURO(EX DEL CHACO),LAS SALADAS,,14,RIO PRIMERO,207,LAS SALADAS,1,6375,6375,258,LAS SALADAS,Córdoba,Argentina,"LAS SALADAS, LAS SALADAS, Córdoba, Argentina",-30.7589238,-63.2047043,"Las Saladas, Córdoba, Argentina",Match,Google
ESCUELA N°111,COMECHINGONES,,14,RIO PRIMERO,208,COMECHINGONES,1,6376,6376,310,COMECHINGONES,Córdoba,Argentina,"COMECHINGONES, COMECHINGONES, Córdoba, Argentina",-31.4270857,-64.2292397,"Maestro Vidal 1567, X5010BHS Córdoba Capital, Córdoba, Argentina",Match,Google
ESC DOMINGO F SARMIENTO,BLAS DE ROSALES,,14,RIO PRIMERO,210,BLAS DE ROSALES,1,6378,6378,92,BLAS DE ROSALES,Córdoba,Argentina,"BLAS DE ROSALES, BLAS DE ROSALES, Córdoba, Argentina",-31.2595699,-63.877204,"Blas de Rosales, Córdoba, Argentina",Match,Google
ESCUELA MAESTRO DOMINGO NOGAL,AV SAN MARTIN,,14,RIO PRIMERO,211,MONTE CRISTO,7,6396,6402,2366,MONTE CRISTO,Córdoba,Argentina,"AV SAN MARTIN, MONTE CRISTO, Córdoba, Argentina",-31.3446359,-63.9427608,"Gral. San Martin, 5125 Monte Cristo, Córdoba, Argentina",Match,Google
ESCUELA 25 DE MAYO,LUIS F TAGLE,,14,RIO PRIMERO,211,MONTE CRISTO,6,6403,6408,2028,MONTE CRISTO,Córdoba,Argentina,"LUIS F TAGLE, MONTE CRISTO, Córdoba, Argentina",-31.3402662,-63.9483045,"Luis F. Tagle, 5125 Monte Cristo, Córdoba, Argentina",Match,Google
ESC.PROV.1ER.GOBIERNO PATRIO,QUEBRACHO,,14,RIO PRIMERO,217,QUEBRACHO,1,6427,6427,85,QUEBRACHO,Córdoba,Argentina,"QUEBRACHO, QUEBRACHO, Córdoba, Argentina",-31.3989296,-64.1821289,"A D L Quebrachos 0, Alto de Los Quebrachos, Cordoba, Argentina",Match,Google
ESC.JORGE NEWBERY,PUBLICA,,14,RIO PRIMERO,219,SAGRADA FAMILIA,1,6449,6449,175,SAGRADA FAMILIA,Córdoba,Argentina,"PUBLICA, SAGRADA FAMILIA, Córdoba, Argentina",-31.3878725,-64.2292738,"Av. Sagrada Familia 1105, 5003 Córdoba, Argentina",Match,Google
