mesa,url_gob,id_ubicacion,id_publicacion,cant_mesas_procesadas,hora_proceso,clase_ubicacion,cant_votantes,cant_votos_positivos,porcentaje_mesas_procesadas,descripcion_ubicacion,Partido Unión Ciudadana,Vecinalismo Independiente,Movimiento Avanzada Socialista,MST - Nueva Izquierda,Córdoba Cambia,Frente de Izquierda y de los Trabajadores,Hacemos por Córdoba,Unión Cívica Radical,Unite por la Libertad y la Dignidad,Encuentro Vecinal Córdoba,Política Abierta para la Integridad Social (P.A.I.S.),Movimiento de Acción Vecinal,Movimiento Libres del Sur,Voto en BLANCO,Votos IMPUGNADOS,Votos NULOS,Votos RECURRIDOS,cargo,porcentaje_participacion,cant_votos_negativos
1763,https://datosoficiales.com.ar/resultados/CO/1/112/154/1763/INT.json,CO.1.112.154.1763,44,1,2019-05-12 22:15:01,Mesa,262,247,100.0,1763,1,2,0,1,64,11,86,44,0,18,0,0,7,13,0,10,5,INT,76.3848,15
1764,https://datosoficiales.com.ar/resultados/CO/1/112/154/1764/INT.json,CO.1.112.154.1764,57,1,2019-05-12 23:20:01,Mesa,244,236,100.0,1764,2,1,1,1,53,8,82,47,0,11,0,0,13,17,0,8,0,INT,70.9302,8
1765,https://datosoficiales.com.ar/resultados/CO/1/112/154/1765/INT.json,CO.1.112.154.1765,53,1,2019-05-12 23:00:01,Mesa,252,235,100.0,1765,3,2,1,0,54,12,76,45,0,17,1,1,13,10,6,10,1,INT,73.6842,17
1766,https://datosoficiales.com.ar/resultados/CO/1/112/154/1766/INT.json,CO.1.112.154.1766,48,1,2019-05-12 22:35:01,Mesa,257,241,100.0,1766,0,1,0,1,52,15,90,40,0,15,0,1,9,17,0,16,0,INT,74.7093,16
1767,https://datosoficiales.com.ar/resultados/CO/1/112/154/1767/INT.json,CO.1.112.154.1767,50,1,2019-05-12 22:45:02,Mesa,249,229,100.0,1767,0,0,2,2,48,8,91,44,1,12,0,0,11,10,0,20,0,INT,72.3837,20
1768,https://datosoficiales.com.ar/resultados/CO/1/112/154/1768/INT.json,CO.1.112.154.1768,50,1,2019-05-12 22:45:02,Mesa,249,241,100.0,1768,1,1,0,3,67,12,80,41,0,8,0,0,10,18,0,5,3,INT,72.3837,8
1769,https://datosoficiales.com.ar/resultados/CO/1/112/154/1769/INT.json,CO.1.112.154.1769,49,1,2019-05-12 22:40:01,Mesa,251,242,100.0,1769,3,5,1,4,50,9,86,49,1,10,0,0,9,15,0,7,2,INT,72.5433,9
1770,https://datosoficiales.com.ar/resultados/CO/1/112/154/1770/INT.json,CO.1.112.154.1770,59,1,2019-05-12 23:30:01,Mesa,237,226,100.0,1770,2,2,1,2,59,9,90,36,0,0,0,0,6,19,0,11,0,INT,69.0962,11
1771,https://datosoficiales.com.ar/resultados/CO/1/112/154/1771/INT.json,CO.1.112.154.1771,82,1,2019-05-13 01:25:01,Mesa,268,265,100.0,1771,1,3,1,2,56,14,100,58,0,9,0,0,5,16,0,3,0,INT,77.4566,3
1772,https://datosoficiales.com.ar/resultados/CO/1/112/154/1772/INT.json,CO.1.112.154.1772,45,1,2019-05-12 22:20:01,Mesa,236,236,100.0,1772,4,0,0,0,60,13,84,49,1,12,0,3,10,0,0,0,0,INT,68.208,0
